*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 324   104   175     39    165    398     1    25   137  0.266  0.390  0.410  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1990 325   105   176     39    165    400     1    25   137  0.284  0.385  0.409  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1990 326   106   175     39    165    400     1    25   137  0.277  0.381  0.408  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1990 327   107   174     39    165    400     1    25   137  0.271  0.378  0.407  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1990 328   108   173     39    165    400     1    25   137  0.266  0.375  0.406  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1990 329   109   173     39    165    400     1    25   137  0.261  0.372  0.405  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1990 330   110   189     39    166    421     1    25   137  0.362  0.435  0.423  0.436  0.419  0.375  0.254  0.339  0.000  0.000
 1990 331   111   180     39    170    421     1    25   137  0.276  0.414  0.415  0.431  0.416  0.375  0.254  0.338  0.000  0.000
 1990 332   112   176     39    172    421     1    25   137  0.258  0.400  0.412  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 333   113   175     39    172    421     1    25   137  0.249  0.393  0.409  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 334   114   174     39    172    421     1    25   137  0.243  0.388  0.409  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 335   115   173     39    172    421     1    25   137  0.238  0.383  0.408  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 336   116   172     39    172    421     1    25   137  0.233  0.379  0.407  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 337   117   180     39    172    431     1    25   137  0.371  0.384  0.406  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 338   118   177     39    172    431     1    25   137  0.322  0.384  0.405  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 339   119   176     39    172    431     1    25   137  0.302  0.381  0.405  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 340   120   203     48    173    473     1    25   137  0.392  0.439  0.443  0.461  0.440  0.381  0.257  0.341  0.000  0.000
 1990 341   121   222     83    176    536     1    25   137  0.349  0.439  0.451  0.485  0.448  0.407  0.271  0.356  0.000  0.000
 1990 342   122   197     83    198    536     1    25   137  0.294  0.415  0.430  0.456  0.431  0.390  0.262  0.346  0.000  0.000
 1990 343   123   185     83    209    536     1    25   137  0.280  0.401  0.419  0.441  0.422  0.381  0.257  0.341  0.000  0.000
 1990 344   124   214    119    211    606     1    25   137  0.434  0.438  0.444  0.461  0.449  0.393  0.265  0.350  0.000  0.000
 1990 345   125   192    119    228    606     1    25   137  0.315  0.420  0.426  0.444  0.431  0.383  0.258  0.343  0.000  0.000
