*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 1990 253    33    30    1.1      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.9   0.05   0.05    0.4   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 254    34    31    1.3      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.9   0.06   0.06    0.3   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 255    35    32    1.3      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.9   0.06   0.06    0.3   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 256    36    33    1.3      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.9   0.06   0.06    0.3   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 257    37    34    1.4      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.9   0.06   0.06    0.3   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 258    38    35    1.4      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.9   0.06   0.07    0.3   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 259    39    36    1.6      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.74   0.00   0.00      0      0  102.0   0.06   0.07    0.2   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 260    40    37    1.7      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.74   0.00   0.00      0      0  102.0   0.07   0.07    0.2   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 261    41    38    1.8      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.74   0.00   0.00      0      0  102.0   0.07   0.07    0.2   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 262    42    39    1.9      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.74   0.00   0.00      0      0  102.0   0.07   0.08    0.2   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
