*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 20, 2016; 15:44:28

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0071 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 313   122   150      1     51    358     0     0   125  0.523  0.526  0.521  0.409  0.363  0.374  0.395  0.396  0.000  0.000
 1990 314   123   146      1     51    358     0     0   125  0.522  0.518  0.514  0.402  0.363  0.373  0.391  0.396  0.000  0.000
 1990 315   124   141      1     51    358     0     0   125  0.504  0.511  0.506  0.396  0.362  0.371  0.386  0.396  0.000  0.000
 1990 316   125   139      1     51    358     0     0   125  0.500  0.505  0.502  0.392  0.362  0.371  0.384  0.395  0.000  0.000
 1990 317   126   132      1     51    358     0     0   125  0.484  0.494  0.492  0.384  0.361  0.369  0.378  0.395  0.000  0.000
 1990 318   127   130      1     51    360     0     0   125  0.516  0.486  0.485  0.380  0.360  0.368  0.375  0.394  0.000  0.000
 1990 319   128   128      1     51    360     0     0   125  0.497  0.488  0.482  0.379  0.360  0.367  0.374  0.393  0.000  0.000
 1990 320   129   178      1     51    413     0     0   125  0.553  0.562  0.562  0.467  0.447  0.372  0.372  0.393  0.000  0.000
 1990 321   130   172      1     51    413     0     0   125  0.531  0.547  0.546  0.448  0.433  0.387  0.369  0.392  0.000  0.000
 1990 322   131   165      1     51    413     0     0   125  0.523  0.533  0.537  0.437  0.425  0.388  0.367  0.392  0.000  0.000
 1990 323   132   159      1     51    413     0     0   125  0.512  0.523  0.529  0.429  0.417  0.384  0.365  0.391  0.000  0.000
 1990 324   133   156      1     51    413     0     0   125  0.511  0.518  0.524  0.425  0.413  0.383  0.365  0.390  0.000  0.000
 1990 325   134   150      1     51    415     0     0   125  0.525  0.510  0.515  0.416  0.405  0.379  0.363  0.389  0.000  0.000
 1990 326   135   144      1     51    415     0     0   125  0.497  0.507  0.507  0.409  0.398  0.377  0.361  0.388  0.000  0.000
 1990 327   136   137      1     51    415     0     0   125  0.483  0.497  0.499  0.401  0.390  0.374  0.360  0.386  0.000  0.000
 1990 328   137   131      1     51    415     0     0   125  0.471  0.488  0.491  0.394  0.384  0.372  0.359  0.384  0.000  0.000
 1990 329   138   127      1     51    415     0     0   125  0.462  0.480  0.484  0.389  0.381  0.370  0.358  0.382  0.000  0.000
 1990 330   139   142      1     51    435     0     0   125  0.557  0.559  0.521  0.383  0.378  0.369  0.357  0.379  0.000  0.000
 1990 331   140   136      1     51    435     0     0   125  0.532  0.539  0.520  0.380  0.374  0.367  0.355  0.376  0.000  0.000
 1990 332   141   130      1     51    435     0     0   125  0.517  0.523  0.510  0.377  0.370  0.364  0.354  0.372  0.000  0.000
 1990 333   142   123      1     51    435     0     0   125  0.498  0.508  0.499  0.374  0.367  0.362  0.352  0.368  0.000  0.000
 1990 334   143   120      1     51    435     0     0   125  0.492  0.499  0.493  0.373  0.366  0.361  0.351  0.366  0.000  0.000
 1990 335   144   115      1     51    435     0     0   125  0.477  0.488  0.483  0.371  0.364  0.359  0.350  0.363  0.000  0.000
 1990 336   145   113      1     51    435     0     0   125  0.474  0.483  0.479  0.371  0.363  0.359  0.350  0.362  0.000  0.000
 1990 337   146   117      1     51    445     0     0   125  0.548  0.523  0.468  0.367  0.361  0.357  0.348  0.359  0.000  0.000
 1990 338   147   111      1     51    445     0     0   125  0.507  0.513  0.461  0.365  0.359  0.355  0.346  0.356  0.000  0.000
 1990 339   148   107      1     51    445     0     0   125  0.494  0.498  0.456  0.363  0.357  0.354  0.345  0.354  0.000  0.000
 1990 340   149   145      1     51    487     0     0   125  0.555  0.556  0.562  0.450  0.365  0.353  0.345  0.353  0.000  0.000
 1990 341   150   199      3     51    550     0     0   125  0.546  0.559  0.559  0.459  0.460  0.446  0.409  0.353  0.000  0.000
 1990 342   151   192      3     52    550     0     0   125  0.525  0.547  0.547  0.445  0.443  0.430  0.403  0.395  0.000  0.000
 1990 343   152   188      3     54    550     0     0   125  0.534  0.537  0.543  0.441  0.437  0.424  0.407  0.394  0.000  0.000
 1990 344   153   222      6     87    620     0     0   125  0.564  0.567  0.565  0.468  0.459  0.446  0.438  0.431  0.000  0.000
 1990 345   154   202      6    101    620     0     0   125  0.535  0.554  0.553  0.453  0.445  0.432  0.419  0.413  0.000  0.000
 1990 346   155   193      6    107    620     0     0   125  0.531  0.544  0.547  0.445  0.437  0.425  0.412  0.404  0.000  0.000
 1990 347   156   186      6    110    620     0     0   125  0.527  0.537  0.542  0.439  0.432  0.420  0.407  0.399  0.000  0.000
 1990 348   157   180      6    110    620     0     0   125  0.515  0.531  0.536  0.434  0.427  0.416  0.402  0.395  0.000  0.000
 1990 349   158   173      6    110    620     0     0   125  0.503  0.523  0.530  0.429  0.422  0.410  0.397  0.393  0.000  0.000
 1990 350   159   166      6    110    620     0     0   125  0.491  0.515  0.523  0.424  0.417  0.406  0.393  0.390  0.000  0.000
 1990 351   160   163      6    110    620     0     0   125  0.491  0.509  0.519  0.421  0.415  0.403  0.391  0.389  0.000  0.000
 1990 352   161   193      6    110    656     0     0   125  0.553  0.562  0.562  0.465  0.456  0.415  0.386  0.386  0.000  0.000
 1990 353   162   186      6    110    656     0     0   125  0.521  0.549  0.549  0.449  0.441  0.414  0.404  0.384  0.000  0.000
 1990 354   163   179      6    110    656     0     0   125  0.511  0.533  0.541  0.440  0.432  0.414  0.401  0.382  0.000  0.000
 1990 355   164   173      6    110    656     0     0   125  0.502  0.525  0.534  0.435  0.428  0.410  0.397  0.380  0.000  0.000
 1990 356   165   199      6    110    684     0     0   125  0.572  0.563  0.564  0.468  0.459  0.422  0.401  0.379  0.000  0.000
 1990 357   166   192      6    113    684     0     0   125  0.540  0.551  0.552  0.453  0.444  0.418  0.405  0.394  0.000  0.000
 1990 358   167   203      6    113    699     0     0   125  0.557  0.565  0.566  0.468  0.458  0.425  0.409  0.395  0.000  0.000
 1990 359   168   190      6    120    699     0     0   125  0.520  0.553  0.554  0.453  0.445  0.417  0.403  0.392  0.000  0.000
 1990 360   169   182      6    120    699     0     0   125  0.500  0.535  0.545  0.442  0.435  0.413  0.402  0.392  0.000  0.000
 1990 361   170   175      6    120    699     0     0   125  0.485  0.523  0.537  0.436  0.429  0.410  0.397  0.389  0.000  0.000
 1990 362   171   168      6    120    699     0     0   125  0.478  0.513  0.529  0.431  0.424  0.406  0.393  0.387  0.000  0.000
 1990 363   172   162      6    120    699     0     0   125  0.460  0.506  0.523  0.427  0.420  0.402  0.389  0.385  0.000  0.000
 1990 364   173   155      6    120    699     0     0   125  0.438  0.497  0.516  0.422  0.416  0.398  0.385  0.383  0.000  0.000
 1990 365   174   149      6    120    699     0     0   125  0.425  0.487  0.509  0.417  0.411  0.394  0.381  0.380  0.000  0.000
 1991 001   175   144      6    120    699     0     0   125  0.418  0.479  0.502  0.413  0.407  0.390  0.378  0.378  0.000  0.000
 1991 002   176   139      6    120    699     0     0   125  0.412  0.472  0.496  0.408  0.403  0.387  0.376  0.376  0.000  0.000
 1991 003   177   133      6    120    699     0     0   125  0.406  0.464  0.490  0.404  0.398  0.384  0.373  0.373  0.000  0.000
 1991 004   178   128      6    120    699     0     0   125  0.401  0.457  0.483  0.398  0.393  0.381  0.370  0.370  0.000  0.000
 1991 005   179   122      6    120    699     0     0   125  0.395  0.449  0.476  0.392  0.388  0.379  0.368  0.368  0.000  0.000
 1991 006   180   117      6    120    699     0     0   125  0.389  0.442  0.468  0.386  0.383  0.376  0.366  0.365  0.000  0.000
 1991 007   181   112      6    120    699     0     0   125  0.383  0.434  0.460  0.381  0.380  0.374  0.363  0.363  0.000  0.000
 1991 008   182   107      6    120    699     0     0   125  0.376  0.426  0.451  0.377  0.376  0.371  0.361  0.360  0.000  0.000
 1991 009   183   105      6    120    699     0     0   125  0.370  0.424  0.448  0.375  0.375  0.370  0.360  0.359  0.000  0.000

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 20, 2016; 15:44:28

*RUN   2        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0071 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 191     0   131      0      0     14     0     0   125  0.540  0.447  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1991 192     1   129      0      0     14     0     0   125  0.485  0.459  0.396  0.335  0.376  0.418  0.408  0.395  0.000  0.000
