*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:26:37

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0030 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 255    64     2     2     0.0  123.8   16619  111.2   12.6   4.2  19.3  24.8  11.4   6.6   1.1   1.6   1.5   0.0   0.0   0.1   0.5   0.8   0.6   0.6  1.62  0.53  0.30  0.00  0.00   27.29   40.20    0.00    0.00    0.38
 1990 256    65     2     2     0.0  123.8   16618  111.1   12.7   4.3  19.2  24.6  11.6   6.6   1.1   1.6   1.5   0.0   0.0   0.1   0.5   0.8   0.6   0.6  1.62  0.52  0.30  0.00  0.00   27.79   40.67    0.00    0.00    0.38
 1990 257    66     2     2     0.0  123.5   16618  110.9   12.7   4.5  19.0  24.3  11.7   6.6   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.8   0.6   0.6  1.62  0.52  0.29  0.00  0.00   28.27   41.13    0.00    0.00    0.39
 1990 258    67     2     2     0.0  123.7   16617  111.0   12.7   4.8  18.8  24.1  11.8   6.6   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.8   0.6   0.6  1.63  0.52  0.29  0.00  0.00   28.72   41.57    0.00    0.00    0.39
 1990 259    68     2     2     0.0  123.9   16617  111.3   12.7   5.0  18.8  24.1  11.9   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.51  0.28  0.00  0.00   29.15   42.00    0.00    0.00    0.39
 1990 260    69     2     2     0.0  124.0   16616  111.3   12.7   5.3  18.6  23.9  12.0   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.51  0.28  0.00  0.00   29.60   42.45    0.00    0.00    0.40
 1990 261    70     2     2     0.0  123.9   16616  111.3   12.6   5.5  18.4  23.7  12.1   6.7   1.2   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.50  0.27  0.00  0.00   30.06   42.91    0.00    0.00    0.40
 1990 262    71     2     2     0.0  124.1   16616  111.4   12.6   5.6  18.4  23.7  12.1   6.7   1.2   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.50  0.27  0.00  0.00   30.52   43.36    0.00    0.00    0.40
 1990 263    72     2     2     0.0  124.3   16615  111.7   12.6   5.8  18.3  23.6  12.2   6.7   1.2   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.49  0.27  0.00  0.00   30.97   43.82    0.00    0.00    0.40
 1990 264    73     2     2     0.0  124.2   16615  111.6   12.6   5.9  18.2  23.4  12.3   6.8   1.2   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.63  0.49  0.26  0.00  0.00   31.42   44.27    0.00    0.00    0.41
 1990 265    74     2     2     0.0  123.6   16614  111.0   12.6   5.7  18.1  23.1  12.3   6.8   1.2   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.63  0.49  0.26  0.00  0.00   31.86   44.72    0.00    0.00    0.41
 1990 266    75     2     2     0.0  122.9   16614  110.4   12.6   5.6  17.9  22.7  12.3   6.8   1.2   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.63  0.48  0.25  0.00  0.00   32.32   45.17    0.00    0.00    0.41
 1990 267    76     2     2     0.0  122.0   16613  109.4   12.6   5.6  17.5  22.3  12.4   6.8   1.3   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.64  0.48  0.25  0.00  0.00   32.76   45.62    0.00    0.00    0.41
 1990 268    77     2     2     0.0  121.8   16613  109.2   12.6   5.7  17.4  22.1  12.4   6.8   1.3   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.64  0.48  0.25  0.00  0.00   33.20   46.07    0.00    0.00    0.42
 1990 269    78     2     2     0.0  121.6   16612  109.0   12.5   5.7  17.3  22.0  12.4   6.9   1.3   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.64  0.47  0.24  0.00  0.00   33.63   46.51    0.00    0.00    0.42
 1990 270    79     2     2     0.0  121.1   16612  108.6   12.5   5.8  17.1  21.7  12.4   6.9   1.3   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.64  0.47  0.24  0.00  0.00   34.06   46.95    0.00    0.00    0.42
 1990 271    80     2     2     0.0  120.6   16612  108.1   12.5   5.9  16.9  21.5  12.4   6.9   1.3   1.8   1.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.64  0.47  0.24  0.00  0.00   34.51   47.42    0.00    0.00    0.42
 1990 272    81     2     2     0.0  119.6   16611  107.1   12.4   5.9  16.5  21.1  12.3   6.9   1.3   1.9   1.6   0.0   0.0   0.1   0.4   0.9   0.5   0.6  1.64  0.46  0.23  0.00  0.00   35.00   47.92    0.00    0.00    0.43
 1990 273    82     2     2     0.0  118.3   16611  105.9   12.4   5.9  16.2  20.6  12.2   7.0   1.4   1.9   1.6   0.0   0.0   0.1   0.4   0.9   0.5   0.6  1.64  0.46  0.23  0.00  0.00   35.51   48.44    0.00    0.00    0.43
 1990 274    83     2     2     0.0  118.1   16610  105.7   12.4   6.0  16.1  20.4  12.2   7.0   1.4   1.9   1.6   0.0   0.0   0.1   0.4   0.9   0.5   0.6  1.64  0.46  0.23  0.00  0.00   36.04   49.01    0.00    0.00    0.43
 1990 275    84     2     2     0.0  116.1   16609  103.8   12.3   5.9  15.5  19.7  12.1   7.0   1.4   1.9   1.6   0.0   0.0   0.1   0.4   0.9   0.5   0.6  1.64  0.45  0.22  0.00  0.00   36.60   49.61    0.00    0.00    0.43
 1990 276    85     2     2     0.0  111.4   16609   99.2   12.2   5.5  14.4  18.1  11.7   7.0   1.4   1.9   1.6   0.0   0.0   0.1   0.4   0.9   0.5   0.6  1.65  0.45  0.22  0.00  0.00   37.15   50.19    0.00    0.00    0.44
 1990 277    86     2     2     0.0  110.1   16608   97.9   12.2   2.4  12.0  20.0  11.6   7.1   1.4   1.9   1.6   0.0   0.0   0.1   0.4   0.8   0.5   0.6  1.65  0.45  0.22  0.00  0.00   37.72   50.78    0.00    0.00    0.44
 1990 278    87     2     2     0.0  109.7   16608   97.5   12.3   2.1  10.9  20.3  11.7   7.1   1.5   1.9   1.7   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.65  0.45  0.21  0.00  0.00   38.37   51.29    0.00    0.00    0.44
 1990 279    88     2     2     0.0  108.6   16607   96.0   12.6   2.1  10.5  19.4  12.0   7.1   1.5   2.0   1.7   0.0   0.0   0.2   0.6   0.9   0.5   0.6  1.65  0.44  0.21  0.00  0.00   39.01   51.60    0.00    0.00    0.47
 1990 280    89     2     2     0.0  107.5   16606   94.9   12.6   2.1  10.1  19.0  11.9   7.1   1.5   2.0   1.7   0.0   0.0   0.1   0.7   0.9   0.5   0.6  1.65  0.44  0.21  0.00  0.00   39.58   52.09    0.00    0.00    0.47
 1990 281    90     2     2     0.0  106.6   16606   93.9   12.7   2.0   9.8  18.5  11.9   7.1   1.5   2.0   1.7   0.0   0.0   0.2   0.7   1.0   0.5   0.5  1.65  0.44  0.21  0.00  0.00   40.13   52.50    0.00    0.00    0.47
 1990 282    91     2     2     0.0  104.1   16605   91.5   12.6   2.1   9.5  17.4  11.8   7.0   1.5   2.0   1.7   0.0   0.0   0.1   0.7   0.9   0.5   0.5  1.65  0.44  0.20  0.00  0.00   40.66   53.08    0.00    0.00    0.47
 1990 283    92     2     2     0.0  100.6   16605   88.1   12.5   2.1   8.8  16.1  11.5   6.9   1.5   2.0   1.7   0.0   0.0   0.1   0.6   0.9   0.5   0.5  1.65  0.43  0.20  0.00  0.00   41.20   53.64    0.00    0.00    0.51
 1990 284    93     2     2     0.0   97.2   16604   84.7   12.4   2.0   8.3  14.9  11.2   6.8   1.6   2.0   1.7   0.0   0.0   0.1   0.6   0.9   0.5   0.5  1.66  0.43  0.20  0.00  0.00   41.75   54.17    0.00    0.00    0.52
 1990 285    94     2     2     0.0   95.8   16604   83.4   12.5   1.9   8.1  14.4  11.1   6.7   1.6   2.0   1.7   0.0   0.0   0.2   0.6   0.9   0.5   0.5  1.66  0.43  0.20  0.00  0.00   42.34   54.69    0.00    0.00    0.54
 1990 286    95     2     2     0.0   91.7   16603   79.3   12.3   1.8   7.4  13.0  10.8   6.6   1.6   2.0   1.7   0.0   0.0   0.1   0.6   0.9   0.5   0.5  1.66  0.43  0.20  0.00  0.00   42.93   55.28    0.00    0.00    0.57
 1990 287    96     2     2     0.0   88.7   16603   76.4   12.3   1.7   6.9  12.0  10.5   6.4   1.6   2.1   1.7   0.0   0.0   0.1   0.5   0.9   0.5   0.5  1.66  0.42  0.19  0.00  0.00   43.53   55.83    0.00    0.00    0.59
 1990 288    97     2     2     0.0   85.5   16602   73.3   12.2   1.7   6.4  11.0  10.2   6.2   1.6   2.1   1.7   0.0   0.0   0.1   0.5   0.9   0.5   0.5  1.66  0.42  0.19  0.00  0.00   44.11   56.39    0.00    0.00    0.61
 1990 289    98     2     2     0.0   82.5   16601   70.3   12.2   1.6   5.9  10.1   9.8   6.1   1.6   2.1   1.7   0.0   0.0   0.1   0.5   0.8   0.5   0.5  1.66  0.42  0.19  0.00  0.00   44.65   56.92    0.00    0.00    0.63
