*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:59

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0134 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1987 259    47     1     1     3.0  116.6   16623   96.9   19.7   1.4   4.0  11.4  11.7  10.9   4.8   2.6   1.6   0.0   0.0   0.1   0.6   1.4   0.9   1.3  1.98  1.07  0.73  0.00  0.00   22.71   26.95    0.90    0.00    0.48
 1987 260    48     1     1     3.4  116.2   16623   96.3   19.9   1.6   3.9  11.1  11.5  10.8   4.9   2.7   1.6   0.0   0.0   0.1   0.7   1.5   1.0   1.3  1.99  1.08  0.72  0.00  0.00   23.22   27.15    0.95    0.00    0.48
 1987 261    49     1     1     3.7  116.4   16622   96.3   20.1   1.7   3.9  11.1  11.4  10.7   4.9   2.8   1.7   0.0   0.0   0.1   0.6   1.5   1.0   1.3  2.00  1.08  0.72  0.00  0.00   23.73   27.48    0.99    0.00    0.49
 1987 262    50     1     1     3.8  116.6   16622   96.5   20.1   1.9   4.0  11.1  11.3  10.6   4.9   2.8   1.7   0.0   0.0   0.1   0.6   1.5   1.0   1.3  2.02  1.08  0.72  0.00  0.00   24.20   27.93    1.01    0.00    0.49
 1987 263    51     1     1     3.9  116.6   16621   96.5   20.1   2.1   4.0  11.0  11.3  10.6   4.9   2.8   1.7   0.0   0.0   0.1   0.6   1.5   1.0   1.3  2.03  1.08  0.71  0.00  0.00   24.64   28.36    1.04    0.00    0.49
 1987 264    52     1     1     3.9  116.9   16621   96.8   20.1   2.2   4.0  11.0  11.3  10.6   4.9   2.8   1.7   0.0   0.0   0.1   0.6   1.4   1.0   1.3  2.04  1.08  0.71  0.00  0.00   25.09   28.78    1.06    0.00    0.49
 1987 265    53     1     1     3.9  117.3   16621   97.2   20.1   2.4   4.1  11.1  11.4  10.6   4.9   2.8   1.8   0.0   0.0   0.1   0.6   1.4   1.0   1.3  2.05  1.08  0.70  0.00  0.00   25.53   29.28    1.07    0.00    0.50
 1987 266    54     1     1     3.9  117.5   16620   97.5   20.0   2.5   4.1  11.1  11.4  10.7   4.9   2.8   1.8   0.0   0.0   0.1   0.5   1.4   1.0   1.4  2.06  1.08  0.70  0.00  0.00   25.97   29.75    1.08    0.00    0.50
 1987 267    55     1     1     3.9  117.9   16620   97.9   20.0   2.6   4.2  11.1  11.5  10.7   4.9   2.8   1.8   0.0   0.0   0.1   0.5   1.4   1.0   1.4  2.08  1.08  0.70  0.00  0.00   26.41   30.23    1.10    0.00    0.50
 1987 268    56     1     1     3.9  118.0   16619   98.1   19.9   2.7   4.2  11.1  11.5  10.7   4.9   2.9   1.8   0.0   0.0   0.1   0.5   1.3   0.9   1.4  2.09  1.08  0.69  0.00  0.00   26.88   30.71    1.11    0.00    0.51
 1987 269    57     1     1     3.9  118.2   16619   98.3   19.9   2.9   4.3  11.0  11.6  10.7   4.9   2.9   1.8   0.0   0.0   0.1   0.5   1.3   0.9   1.4  2.10  1.08  0.69  0.00  0.00   27.38   31.23    1.12    0.00    0.51
 1987 270    58     1     1     3.9  118.3   16618   98.4   19.9   3.0   4.3  10.9  11.6  10.7   4.9   2.9   1.8   0.0   0.0   0.1   0.5   1.3   0.9   1.4  2.11  1.08  0.68  0.00  0.00   27.93   31.79    1.13    0.00    0.51
 1987 271    59    57     2     3.9  174.0   16618  126.2   47.7  53.6   4.3  10.6  11.7  10.8   4.9   2.9   1.8   0.0   0.0  50.4   0.5   1.2   0.9   1.4  2.12  1.08  0.68  0.00  0.00   28.52   32.38    1.14    0.00    0.55
 1987 272    60    57     2     3.9  173.7   16617  152.0   21.8  99.4   4.4  10.6  11.7  10.8   5.0   2.9   1.8   0.0   0.0   3.7   0.5   1.2   0.8   1.4  2.14  1.08  0.68  0.00  0.00   29.13   58.58    1.15    0.00    0.58
 1987 273    61   115     3     3.9  231.7   16616  183.0   48.8 128.2  17.4  10.9  11.7  10.8   5.0   2.9   1.8   0.0   0.0  52.3   0.5   1.2   0.8   1.4  2.15  1.08  0.67  0.00  0.00   29.75   61.11    1.16    0.00    0.62
 1987 274    62   115     3     3.9  231.8   16616  188.5   43.3 136.8  17.3  11.2  11.8  10.9   5.0   2.9   1.8   0.0   0.0  42.4   0.6   1.2   0.8   1.4  2.16  1.08  0.67  0.00  0.00   30.35   67.06    1.17    0.00    0.68
 1987 275    63   115     3     3.9  231.0   16615  208.1   22.9 171.6  17.3  11.2  11.8  11.0   5.0   2.9   1.8   0.0   0.0   5.8   0.6   1.2   0.8   1.3  2.18  1.08  0.66  0.00  0.00   30.93   87.70    1.18    0.00    0.78
 1987 276    64   115     3     3.9  230.6   16615  210.4   20.1 175.3  17.3  11.3  11.9  11.0   5.0   2.9   1.8   0.0   0.0   1.1   0.6   1.2   0.8   1.3  2.19  1.08  0.66  0.00  0.00   31.50   90.90    1.19    0.00    0.85
 1987 277    65   115     3     3.9  230.6   16614  211.0   19.6 175.7  17.3  11.3  11.9  11.1   5.0   2.9   1.8   0.0   0.0   0.2   0.5   1.2   0.8   1.2  2.20  1.08  0.66  0.00  0.00   32.05   91.94    1.19    0.00    0.89
 1987 278    66   115     3     3.9  230.1   16613  210.7   19.4 174.7  17.3  11.3  11.9  11.2   5.0   3.0   1.9   0.0   0.0   0.1   0.5   1.2   0.8   1.2  2.21  1.09  0.65  0.00  0.00   32.60   92.61    1.20    0.00    0.94
 1987 279    67   115     3     3.9  229.3   16613  209.9   19.3 173.2  17.1  11.3  11.9  11.2   5.0   3.0   1.9   0.0   0.0   0.1   0.5   1.2   0.7   1.2  2.23  1.09  0.65  0.00  0.00   33.18   93.22    1.21    0.00    0.97
 1987 280    68   115     3     3.9  228.7   16612  209.4   19.3 172.0  17.1  11.3  11.9  11.3   5.0   3.0   1.9   0.0   0.0   0.1   0.5   1.2   0.7   1.1  2.24  1.09  0.65  0.00  0.00   33.78   93.84    1.22    0.00    0.98
 1987 281    69   115     3     3.9  228.3   16612  209.1   19.2 171.2  17.0  11.3  12.0  11.3   5.0   3.0   1.9   0.0   0.0   0.1   0.5   1.1   0.7   1.1  2.25  1.09  0.64  0.00  0.00   34.39   94.49    1.22    0.00    1.00
 1987 282    70   115     3     3.9  227.3   16611  208.1   19.2 169.4  16.9  11.3  11.9  11.4   5.0   3.0   1.9   0.0   0.0   0.1   0.5   1.1   0.7   1.1  2.26  1.09  0.64  0.00  0.00   35.01   95.14    1.23    0.00    1.02
 1987 283    71   115     3     3.9  225.6   16610  206.5   19.1 166.9  16.7  11.2  11.9  11.5   5.0   3.0   1.9   0.0   0.0   0.1   0.5   1.1   0.7   1.0  2.28  1.09  0.64  0.00  0.00   35.62   95.77    1.24    0.00    1.04
 1987 284    72   115     3     3.9  225.7   16610  206.7   19.0  92.4  46.3  16.3  11.9  11.5   5.0   3.0   1.9   0.0   0.0   0.1   0.5   1.1   0.7   1.0  2.29  1.09  0.63  0.00  0.00   36.25   96.42    1.25    0.00    1.06
 1987 285    73   115     3     3.9  224.0   16609  204.9   19.1  66.3  49.9  20.5  12.7  11.7   5.0   3.0   1.9   0.0   0.0   0.1   0.6   1.1   0.7   1.0  2.30  1.09  0.63  0.00  0.00   36.89   96.95    1.25    0.00    1.08
 1987 286    74   115     3     4.0  219.4   16609  200.1   19.4  63.1  47.8  19.9  12.4  11.8   5.1   3.1   1.9   0.0   0.0   0.1   0.7   1.2   0.7   1.0  2.31  1.09  0.63  0.00  0.00   37.55   97.28    1.26    0.00    1.10
 1987 287    75   115     3     4.0  218.4   16608  198.8   19.6  63.4  46.8  19.6  12.4  11.8   5.1   3.1   1.9   0.0   0.0   0.1   0.6   1.3   0.7   1.0  2.33  1.09  0.62  0.00  0.00   38.19   97.69    1.27    0.00    1.12
 1987 288    76   115     3     4.0  218.6   16607  199.0   19.6  47.3  50.6  22.1  12.6  11.9   5.2   3.1   2.0   0.0   0.0   0.1   0.6   1.3   0.7   1.0  2.34  1.09  0.62  0.00  0.00   38.82   98.23    1.27    0.00    1.14
 1987 289    77   115     3     4.2  218.1   16607  198.1   20.0  46.3  49.6  22.2  12.6  11.9   5.3   3.2   2.0   0.0   0.0   0.1   0.7   1.3   0.8   1.0  2.35  1.09  0.62  0.00  0.00   39.38   98.42    1.28    0.00    1.16
 1987 290    78   115     3     4.2  216.1   16606  195.9   20.2  45.6  48.4  21.9  12.5  11.9   5.3   3.2   2.0   0.0   0.0   0.1   0.7   1.4   0.8   1.0  2.36  1.09  0.61  0.00  0.00   39.92   98.67    1.30    0.00    1.19
 1987 291    79   115     3     4.2  213.5   16606  193.4   20.1  45.6  46.9  21.5  12.5  11.8   5.3   3.2   2.0   0.0   0.0   0.1   0.7   1.3   0.8   1.0  2.37  1.09  0.61  0.00  0.00   40.45   99.22    1.32    0.00    1.21
 1987 292    80   115     3     4.2  211.2   16605  191.1   20.1  45.5  45.6  21.1  12.4  11.8   5.3   3.2   2.0   0.0   0.0   0.1   0.7   1.3   0.8   1.0  2.39  1.09  0.61  0.00  0.00   40.99   99.77    1.33    0.00    1.23
