*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:59

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0134 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 234    22     1     1     0.0  112.0   16633   96.2   15.8   6.3  14.9  22.4  11.6   5.7   0.4   0.9   0.9   0.0   0.0   0.1   0.6   1.2   0.8   0.8  1.56  0.90  0.74  0.00  0.00   13.43   21.48    0.00    0.00    0.59
 1990 235    23     1     1     0.0  112.3   16632   96.7   15.7   6.5  14.8  22.4  11.7   5.7   0.4   0.9   0.9   0.0   0.0   0.1   0.6   1.2   0.7   0.8  1.56  0.89  0.72  0.00  0.00   14.00   22.18    0.00    0.00    0.61
 1990 236    24     1     1     0.0  112.6   16631   97.1   15.5   6.7  14.8  22.3  11.8   5.8   0.5   0.9   0.9   0.0   0.0   0.1   0.5   1.2   0.7   0.8  1.57  0.87  0.70  0.00  0.00   14.55   22.85    0.00    0.00    0.62
 1990 237    25     1     1     0.0  113.0   16631   97.6   15.4   6.9  14.8  22.4  11.9   5.8   0.5   0.9   0.9   0.0   0.0   0.1   0.5   1.2   0.7   0.8  1.57  0.85  0.68  0.00  0.00   15.07   23.48    0.00    0.00    0.64
 1990 238    26     1     1     0.0  113.4   16630   98.2   15.3   7.1  14.7  22.4  12.0   5.8   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.2   0.7   0.7  1.57  0.84  0.67  0.00  0.00   15.61   24.12    0.00    0.00    0.66
 1990 239    27     1     1     0.0  113.5   16630   98.4   15.1   2.9  10.8  21.8  15.3   6.7   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.57  0.82  0.65  0.00  0.00   16.16   24.78    0.00    0.00    0.68
 1990 240    28     1     1     0.0  113.6   16629   98.3   15.3   2.7  10.5  21.3  15.1   7.3   0.5   1.0   1.0   0.0   0.0   0.1   0.6   1.2   0.7   0.7  1.58  0.81  0.63  0.00  0.00   16.71   25.09    0.00    0.00    0.69
 1990 241    29     1     1     0.0  113.7   16629   98.2   15.5   2.8  10.3  20.7  14.8   7.7   0.7   1.1   1.0   0.0   0.0   0.1   0.7   1.3   0.8   0.7  1.58  0.80  0.61  0.00  0.00   17.23   25.45    0.00    0.00    0.69
 1990 242    30     1     1     0.1  114.1   16628   98.6   15.6   3.1  10.3  20.6  14.6   7.9   0.8   1.1   1.1   0.0   0.0   0.1   0.6   1.4   0.8   0.7  1.59  0.78  0.60  0.00  0.00   17.74   25.87    0.00    0.00    0.70
 1990 243    31     1     1     0.1  114.6   16628   98.8   15.8   3.5  10.2  20.6  14.5   8.0   0.9   1.1   1.1   0.0   0.0   0.1   0.6   1.4   0.8   0.7  1.61  0.79  0.60  0.00  0.00   18.24   26.17    0.00    0.00    0.70
 1990 244    32     1     1     0.1  115.0   16627   99.2   15.8   3.8  10.2  20.7  14.4   8.0   0.9   1.1   1.1   0.0   0.0   0.1   0.6   1.4   0.8   0.7  1.62  0.79  0.59  0.00  0.00   18.67   26.54    0.02    0.00    0.70
 1990 245    33     1     1     0.1  115.3   16627   99.4   15.9   4.1  10.2  20.7  14.4   8.1   0.9   1.1   1.1   0.0   0.0   0.1   0.6   1.4   0.8   0.8  1.63  0.79  0.59  0.00  0.00   19.07   26.89    0.03    0.00    0.71
 1990 246    34     1     1     0.1  115.7   16627   99.7   15.9   4.3  10.2  20.7  14.4   8.1   0.9   1.1   1.1   0.0   0.0   0.1   0.6   1.3   0.8   0.8  1.64  0.79  0.59  0.00  0.00   19.47   27.23    0.03    0.00    0.71
 1990 247    35     1     1     0.1  116.1   16626  100.1   16.0   4.6  10.2  20.7  14.4   8.1   0.9   1.1   1.1   0.0   0.0   0.1   0.5   1.3   0.9   0.8  1.66  0.80  0.58  0.00  0.00   19.88   27.58    0.04    0.00    0.71
 1990 248    36     1     1     0.1  116.4   16626  100.4   16.0   4.8  10.3  20.8  14.5   8.1   0.9   1.1   1.1   0.0   0.0   0.1   0.5   1.3   0.8   0.8  1.67  0.80  0.58  0.00  0.00   20.27   27.96    0.05    0.00    0.71
 1990 249    37     1     1     0.1  116.7   16625  100.7   16.0   5.1  10.3  20.7  14.5   8.1   0.9   1.1   1.1   0.0   0.0   0.1   0.5   1.3   0.8   0.8  1.68  0.80  0.58  0.00  0.00   20.68   28.36    0.05    0.00    0.72
 1990 250    38     1     1     0.1  116.7   16625  100.7   16.0   4.5  10.6  20.6  14.5   8.1   0.9   1.1   1.1   0.0   0.0   0.1   0.5   1.3   0.8   0.8  1.69  0.80  0.57  0.00  0.00   21.14   28.78    0.05    0.00    0.72
 1990 251    39     1     1     0.1  117.1   16624  101.0   16.1   2.8   9.0  20.4  15.7   8.6   1.0   1.1   1.1   0.0   0.0   0.2   0.6   1.3   0.8   0.8  1.71  0.81  0.57  0.00  0.00   21.61   29.13    0.06    0.00    0.72
 1990 252    40     1     1     0.3  117.2   16624  100.8   16.5   2.8   8.8  19.8  15.3   8.9   1.2   1.2   1.1   0.0   0.0   0.2   0.6   1.3   0.8   0.9  1.72  0.81  0.57  0.00  0.00   22.07   29.26    0.09    0.00    0.72
 1990 253    41     1     1     0.4  117.4   16623  100.7   16.7   3.0   8.7  19.4  15.0   9.0   1.4   1.2   1.1   0.0   0.0   0.1   0.7   1.4   0.8   0.9  1.73  0.81  0.57  0.00  0.00   22.58   29.49    0.11    0.00    0.73
 1990 254    42     1     1     0.4  117.2   16623  100.3   16.9   1.9   7.2  17.9  15.4  10.2   1.7   1.2   1.1   0.0   0.0   0.1   0.7   1.4   0.9   0.9  1.75  0.82  0.56  0.00  0.00   23.13   29.84    0.12    0.00    0.73
 1990 255    43     1     1     0.7  116.6   16622   99.3   17.3   1.9   7.0  17.3  14.9  10.1   2.0   1.3   1.2   0.0   0.0   0.2   0.7   1.5   0.9   0.9  1.76  0.82  0.56  0.00  0.00   23.70   29.99    0.22    0.00    0.74
 1990 256    44     1     1     0.9  115.9   16622   98.3   17.6   2.0   6.7  16.6  14.6  10.1   2.2   1.3   1.2   0.0   0.0   0.1   0.8   1.6   0.9   0.9  1.78  0.82  0.56  0.00  0.00   24.27   30.24    0.47    0.00    0.74
 1990 257    45     1     1     1.0  115.2   16621   97.6   17.7   2.2   6.6  16.2  14.4  10.0   2.3   1.3   1.2   0.0   0.0   0.1   0.7   1.6   0.9   0.9  1.79  0.83  0.55  0.00  0.00   24.82   30.62    0.60    0.00    0.74
 1990 258    46     1     1     1.0  115.5   16621   97.9   17.7   2.5   6.6  16.3  14.4  10.0   2.4   1.4   1.2   0.0   0.0   0.1   0.7   1.6   1.0   1.0  1.80  0.83  0.55  0.00  0.00   25.33   31.12    0.64    0.00    0.75
 1990 259    47     1     1     1.1  115.9   16620   98.2   17.7   2.8   6.7  16.3  14.3  10.0   2.4   1.4   1.2   0.0   0.0   0.1   0.7   1.5   1.0   1.0  1.82  0.83  0.55  0.00  0.00   25.80   31.56    0.67    0.00    0.75
 1990 260    48     1     1     1.1  116.0   16620   98.3   17.7   3.0   6.7  16.2  14.3  10.0   2.4   1.4   1.2   0.0   0.0   0.1   0.6   1.5   1.0   1.0  1.83  0.83  0.55  0.00  0.00   26.26   32.00    0.68    0.00    0.75
 1990 261    49     1     1     1.1  115.8   16619   98.2   17.6   1.5   5.4  14.9  14.7  11.1   2.7   1.4   1.2   0.0   0.0   0.1   0.6   1.4   1.0   1.0  1.84  0.84  0.55  0.00  0.00   26.74   32.51    0.69    0.00    0.76
 1990 262    50     1     1     1.4  115.3   16619   97.3   18.0   1.5   5.2  14.3  14.2  11.0   3.0   1.6   1.2   0.0   0.0   0.2   0.7   1.5   1.0   1.0  1.86  0.84  0.54  0.00  0.00   27.24   32.64    0.80    0.00    0.76
 1990 263    51     1     1     1.6  114.7   16618   96.5   18.2   1.6   5.0  13.8  13.9  10.9   3.2   1.6   1.3   0.0   0.0   0.1   0.7   1.5   1.0   1.0  1.87  0.84  0.54  0.00  0.00   27.76   32.87    0.86    0.00    0.76
 1990 264    52     1     1     1.7  114.6   16618   96.2   18.4   1.8   5.0  13.6  13.7  10.8   3.3   1.7   1.3   0.0   0.0   0.1   0.7   1.6   1.0   1.1  1.88  0.85  0.54  0.00  0.00   28.28   33.22    0.90    0.00    0.77
 1990 265    53     1     1     1.7  114.4   16617   96.1   18.3   1.9   5.0  13.5  13.6  10.7   3.3   1.7   1.3   0.0   0.0   0.1   0.7   1.5   1.0   1.1  1.90  0.85  0.54  0.00  0.00   28.80   33.73    0.92    0.00    0.77
 1990 266    54     1     1     1.8  113.6   16617   95.3   18.3   2.1   4.9  13.1  13.5  10.7   3.3   1.7   1.3   0.0   0.0   0.1   0.6   1.5   1.0   1.1  1.91  0.85  0.53  0.00  0.00   29.33   34.23    0.95    0.00    0.77
 1990 267    55     1     1     1.8  111.8   16616   93.6   18.2   2.1   4.7  12.4  13.3  10.7   3.3   1.7   1.3   0.0   0.0   0.1   0.6   1.4   1.1   1.1  1.92  0.85  0.53  0.00  0.00   29.84   34.70    0.96    0.00    0.77
 1990 268    56     1     1     1.8  111.6   16616   93.5   18.1   2.3   4.7  12.2  13.3  10.7   3.3   1.7   1.3   0.0   0.0   0.1   0.6   1.3   1.0   1.1  1.94  0.86  0.53  0.00  0.00   30.33   35.22    0.98    0.00    0.78
 1990 269    57     1     1     1.8  111.5   16615   93.4   18.1   2.4   4.7  12.1  13.3  10.8   3.3   1.8   1.3   0.0   0.0   0.1   0.6   1.3   1.0   1.1  1.95  0.86  0.53  0.00  0.00   30.82   35.72    0.99    0.00    0.78
 1990 270    58     1     1     1.8  111.1   16615   93.1   18.0   2.5   4.7  11.9  13.2  10.8   3.3   1.8   1.3   0.0   0.0   0.1   0.6   1.3   1.0   1.1  1.96  0.86  0.53  0.00  0.00   31.31   36.21    1.00    0.00    0.78
 1990 271    59    57     2     1.8  167.4   16614  121.5   45.9  53.2   4.8  11.9  13.2  10.8   3.3   1.8   1.3   0.0   0.0  50.4   0.5   1.3   0.9   1.1  1.97  0.86  0.52  0.00  0.00   31.82   36.72    1.01    0.00    0.83
 1990 272    60    57     2     1.8  167.0   16614  142.6   24.4  91.0   4.9  11.9  13.2  10.8   3.4   1.8   1.3   0.0   0.0  11.6   0.5   1.3   0.9   1.1  1.99  0.87  0.52  0.00  0.00   32.35   58.44    1.02    0.00    0.87
 1990 273    61   115     3     1.8  222.1   16613  174.5   47.6 149.9   4.8  11.5  13.1  10.8   3.4   1.8   1.3   0.0   0.0  53.6   0.5   1.2   0.9   1.2  2.00  0.87  0.52  0.00  0.00   32.92   64.34    1.03    0.00    0.92
 1990 274    62   115     3     1.8  220.8   16613  201.6   19.2 198.6   4.9  11.5  13.1  10.8   3.4   1.8   1.4   0.0   0.0   2.3   0.5   1.2   0.9   1.2  2.01  0.87  0.52  0.00  0.00   33.52   92.88    1.03    0.00    0.96
 1990 275    63   115     3     1.8  218.8   16612  201.0   17.8 197.6   5.0  11.4  13.0  10.9   3.4   1.8   1.4   0.0   0.0   0.0   0.5   1.2   0.8   1.1  2.03  0.87  0.52  0.00  0.00   34.16   94.85    1.04    0.00    0.99
 1990 276    64   115     3     1.8  216.5   16611  198.8   17.7 193.7   5.0  11.3  13.0  11.0   3.4   1.8   1.4   0.0   0.0   0.1   0.5   1.2   0.8   1.1  2.04  0.88  0.51  0.00  0.00   34.78   95.49    1.05    0.00    0.99
 1990 277    65   115     3     1.8  214.2   16611  196.6   17.6 190.0   5.1  11.2  12.9  11.0   3.4   1.8   1.4   0.0   0.0   0.1   0.5   1.1   0.8   1.1  2.05  0.88  0.51  0.00  0.00   35.43   96.23    1.05    0.00    1.01
 1990 278    66   115     3     1.8  211.0   16610  193.5   17.5 185.1   5.1  11.0  12.8  11.0   3.4   1.8   1.4   0.0   0.0   0.1   0.4   1.1   0.8   1.0  2.07  0.88  0.51  0.00  0.00   36.09   96.96    1.06    0.00    1.03
 1990 279    67   115     3     1.8  209.6   16609  192.3   17.4 101.3  42.3  13.4  12.8  11.0   3.4   1.8   1.4   0.0   0.0   0.1   0.4   1.1   0.8   1.0  2.08  0.88  0.51  0.00  0.00   36.73   97.66    1.06    0.00    1.05
 1990 280    68   115     3     1.8  207.1   16609  189.6   17.5  85.6  44.7  15.6  12.7  11.0   3.4   1.8   1.4   0.0   0.0   0.2   0.5   1.1   0.7   1.0  2.10  0.89  0.51  0.00  0.00   37.42   98.17    1.07    0.00    1.06
 1990 281    69   115     3     1.8  205.2   16608  187.6   17.6  34.7  40.7  24.8  15.7  12.9   4.6   2.2   1.5   0.0   0.0   0.2   0.6   1.1   0.7   0.9  2.11  0.89  0.50  0.00  0.00   38.09   98.67    1.07    0.00    1.09
 1990 282    70   115     3     2.4  202.0   16607  184.0   18.0  33.5  39.2  24.1  15.2  12.7   4.8   2.4   1.5   0.0   0.0   0.2   0.7   1.1   0.8   1.0  2.13  0.89  0.50  0.00  0.00   38.72   98.82    1.16    0.00    1.13
 1990 283    71   115     3     2.8  197.7   16607  179.4   18.2  32.5  37.6  23.2  14.8  12.4   4.8   2.5   1.6   0.0   0.0   0.1   0.8   1.2   0.8   1.0  2.14  0.90  0.50  0.00  0.00   39.32   99.10    1.21    0.00    1.18
 1990 284    72   115     3     2.9  194.6   16606  176.4   18.2  32.2  36.4  22.6  14.6  12.2   4.8   2.5   1.6   0.0   0.0   0.1   0.7   1.2   0.8   1.0  2.16  0.90  0.50  0.00  0.00   39.94   99.62    1.24    0.00    1.19
 1990 285    73   115     3     3.1  193.0   16606  174.7   18.3  13.5  28.5  25.6  16.5  13.6   6.0   3.0   1.8   0.0   0.0   0.1   0.7   1.2   0.8   1.0  2.17  0.90  0.50  0.00  0.00   40.55  100.14    1.26    0.00    1.21
 1990 286    74   115     3     3.8  187.1   16605  168.5   18.6  12.5  26.8  24.1  15.8  13.1   6.0   3.2   1.9   0.0   0.0   0.1   0.7   1.2   0.8   1.0  2.18  0.91  0.50  0.00  0.00   41.14  100.31    1.59    0.00    1.23
 1990 287    75   115     3     4.2  183.3   16604  164.7   18.6  12.5  25.7  23.3  15.3  12.8   6.0   3.3   2.0   0.0   0.0   0.1   0.7   1.2   0.9   1.0  2.20  0.91  0.50  0.00  0.00   41.75  100.82    1.77    0.00    1.25
 1990 288    76   115     3     4.4  179.5   16604  160.9   18.6  12.4  24.7  22.4  15.1  12.5   5.9   3.3   2.0   0.0   0.0   0.1   0.6   1.1   0.9   1.0  2.21  0.92  0.50  0.00  0.00   42.37  101.33    1.85    0.00    1.27
 1990 289    77   115     3     4.5  175.9   16603  157.4   18.5  12.3  23.7  21.5  14.9  12.3   5.9   3.3   2.0   0.0   0.0   0.1   0.6   1.1   0.8   1.0  2.21  0.92  0.49  0.00  0.00   42.97  101.90    1.88    0.00    1.29
 1990 290    78   115     3     4.5  172.6   16603  154.3   18.3  12.2  22.7  20.7  14.7  12.2   5.8   3.3   2.0   0.0   0.0   0.1   0.6   1.1   0.8   1.0  2.22  0.92  0.49  0.00  0.00   43.57  102.54    1.90    0.00    1.31
 1990 291    79   115     3     4.5  171.2   16602  153.0   18.2  12.3  22.3  20.3  14.6  12.2   5.8   3.3   2.0   0.0   0.0   0.1   0.6   1.1   0.8   1.0  2.22  0.92  0.49  0.00  0.00   44.17  103.15    1.90    0.00    1.33
 1990 292    80   115     3     4.5  166.0   16601  148.0   18.0  11.4  21.1  19.1  14.3  12.0   5.8   3.3   2.0   0.0   0.0   0.1   0.5   1.1   0.8   0.9  2.22  0.93  0.49  0.00  0.00   44.77  103.78    1.91    0.00    1.34
 1990 293    81   115     3     4.5  162.5   16601  144.6   17.9   8.9  21.3  18.3  14.1  11.8   5.7   3.3   2.0   0.0   0.0   0.2   0.5   1.0   0.8   0.9  2.21  0.93  0.49  0.00  0.00   45.39  104.35    1.92    0.00    1.36
 1990 294    82   115     3     4.5  158.4   16600  140.7   17.7   8.6  20.1  17.5  13.8  11.6   5.7   3.3   2.0   0.0   0.0   0.1   0.5   1.0   0.7   0.9  2.21  0.93  0.48  0.00  0.00   46.02  105.00    1.92    0.00    1.39
 1990 295    83   115     3     4.5  153.2   16600  135.6   17.5   8.0  18.6  16.5  13.5  11.4   5.6   3.3   2.1   0.0   0.0   0.1   0.5   1.0   0.7   0.9  2.19  0.93  0.48  0.00  0.00   46.67  105.62    1.93    0.00    1.41
 1990 296    84   115     3     4.5  147.5   16599  130.3   17.2   7.5  17.2  15.3  13.1  11.1   5.5   3.4   2.1   0.0   0.0   0.1   0.5   1.0   0.7   0.8  2.16  0.93  0.48  0.00  0.00   47.33  106.34    1.93    0.00    1.43
 1990 297    85   115     3     4.5  143.3   16598  126.3   17.0   7.1  16.1  14.4  12.9  10.9   5.4   3.4   2.1   0.0   0.0   0.1   0.5   0.9   0.7   0.8  2.13  0.94  0.48  0.00  0.00   47.99  107.04    1.93    0.00    1.45
 1990 298    86   115     3     4.5  138.6   16598  121.9   16.7   6.7  15.0  13.5  12.6  10.7   5.4   3.4   2.1   0.0   0.0   0.1   0.5   0.9   0.7   0.8  2.09  0.94  0.48  0.00  0.00   48.62  107.73    1.94    0.00    1.47
 1990 299    87   115     3     4.5  135.2   16597  118.8   16.5   6.4  14.3  12.8  12.3  10.5   5.3   3.4   2.1   0.0   0.0   0.1   0.5   0.9   0.7   0.8  2.06  0.94  0.48  0.00  0.00   49.24  108.39    1.94    0.00    1.49
 1990 300    88   115     3     4.5  127.9   16596  111.8   16.1   5.7  12.6  11.3  11.8  10.1   5.2   3.4   2.1   0.0   0.0   0.1   0.5   0.8   0.6   0.7  2.01  0.94  0.48  0.00  0.00   49.85  109.06    1.94    0.00    1.51
 1990 301    89   115     3     4.5  122.1   16596  106.4   15.7   2.2  10.5  11.8  11.4   9.7   5.1   3.4   2.1   0.0   0.0   0.1   0.4   0.8   0.6   0.7  1.97  0.94  0.47  0.00  0.00   50.44  109.72    1.94    0.00    1.52
 1990 302    90   115     3     4.5  120.3   16595  104.5   15.8   1.9   9.4  11.9  11.2   9.6   5.0   3.4   2.1   0.0   0.0   0.2   0.6   0.8   0.6   0.7  1.94  0.94  0.47  0.00  0.00   51.12  110.20    1.94    0.00    1.54
 1990 303    91   115     3     4.5  116.7   16595  100.9   15.8   1.0   6.7  10.7  12.4   9.6   4.9   3.4   2.1   0.0   0.0   0.3   0.7   0.8   0.6   0.7  1.91  0.95  0.47  0.00  0.00   51.82  110.71    1.95    0.00    1.56
 1990 304    92   115     3     4.5  106.1   16594   90.6   15.5   0.8   5.4   8.6  10.8   9.1   4.6   3.4   2.1   0.0   0.0   0.3   0.7   0.9   0.6   0.6  1.80  0.95  0.47  0.00  0.00   52.58  111.07    1.95    0.00    1.59
 1990 305    93   115     3     4.5   97.9   16593   83.1   14.8   1.0   4.5   7.0   9.9   8.4   4.3   3.4   2.1   0.0   0.0   0.0   0.6   0.8   0.6   0.6  1.72  0.95  0.47  0.00  0.00   53.33  111.99    1.95    0.00    1.61
 1990 306    94   115     3     4.5   91.3   16592   76.9   14.5   0.9   3.8   5.7   9.2   7.9   4.1   3.4   2.1   0.0   0.0   0.2   0.6   0.8   0.6   0.6  1.66  0.95  0.47  0.00  0.00   54.06  112.63    1.95    0.00    1.62
 1990 307    95   115     3     4.5   85.4   16592   71.4   14.0   0.9   3.2   4.6   8.6   7.4   3.9   3.5   2.1   0.0   0.0   0.1   0.5   0.8   0.6   0.6  1.60  0.95  0.46  0.00  0.00   54.80  113.36    1.95    0.00    1.64
 1990 308    96   115     3     4.5   83.3   16591   69.3   13.9   0.4   2.1   3.9   7.8   8.4   3.9   3.5   2.1   0.0   0.0   0.1   0.5   0.8   0.6   0.6  1.57  0.95  0.46  0.00  0.00   55.54  114.01    1.96    0.00    1.65
 1990 309    97   115     3     4.6   77.9   16590   63.9   14.0   0.4   1.7   3.2   6.9   7.4   3.8   3.5   2.2   0.0   0.0   0.2   0.6   0.9   0.6   0.6  1.49  0.96  0.46  0.00  0.00   56.26  114.22    1.96    0.00    1.65
 1990 310    98   115     3     4.6   72.7   16590   58.9   13.8   0.5   1.4   2.6   6.1   6.7   3.6   3.5   2.2   0.0   0.0   0.1   0.7   0.9   0.6   0.6  1.42  0.96  0.46  0.00  0.00   56.95  114.58    1.96    0.00    1.66
 1990 311    99   115     3     4.6   71.1   16589   57.4   13.6   0.6   1.4   2.4   5.9   6.5   3.5   3.5   2.2   0.0   0.0   0.1   0.6   0.9   0.6   0.6  1.40  0.95  0.46  0.00  0.00   57.63  115.24    1.96    0.00    1.66
 1990 312   100   115     3     4.6   65.9   16588   52.7   13.2   0.5   1.2   1.8   5.3   5.9   3.3   3.4   2.2   0.0   0.0   0.2   0.6   0.8   0.6   0.6  1.33  0.95  0.46  0.00  0.00   58.29  115.81    1.96    0.00    1.66
 1990 313   101   115     3     4.6   65.1   16588   52.0   13.0   0.6   1.2   1.7   5.2   5.8   3.2   3.4   2.2   0.0   0.0   0.1   0.6   0.8   0.6   0.6  1.32  0.95  0.46  0.00  0.00   58.91  116.41    1.96    0.00    1.66
 1990 314   102   115     3     4.6   60.7   16587   48.1   12.6   0.6   1.0   1.3   4.7   5.3   3.0   3.4   2.2   0.0   0.0   0.1   0.5   0.8   0.6   0.6  1.26  0.94  0.46  0.00  0.00   59.52  116.95    1.96    0.00    1.66
 1990 315   103   115     3     4.6   55.8   16587   43.6   12.2   0.5   0.8   0.9   4.1   4.7   2.7   3.3   2.2   0.0   0.0   0.1   0.5   0.7   0.6   0.6  1.20  0.93  0.45  0.00  0.00   60.15  117.50    1.96    0.00    1.66
 1990 316   104   115     3     4.6   50.8   16586   39.1   11.7   0.4   0.6   0.6   3.5   4.1   2.5   3.1   2.2   0.0   0.0   0.1   0.5   0.7   0.6   0.6  1.13  0.89  0.45  0.00  0.00   60.82  118.10    1.97    0.00    1.67
 1990 317   105   115     3     4.6   49.1   16586   37.5   11.6   0.5   0.6   0.6   3.3   3.9   2.3   3.1   2.2   0.0   0.0   0.1   0.5   0.7   0.6   0.6  1.10  0.86  0.45  0.00  0.00   61.49  118.69    1.97    0.00    1.67
 1990 318   106   115     3     4.6   42.4   16585   31.6   10.8   0.4   0.4   0.3   2.5   3.0   1.9   2.8   2.2   0.0   0.0   0.1   0.5   0.6   0.6   0.6  1.01  0.81  0.45  0.00  0.00   62.24  119.37    1.97    0.00    1.67
 1990 319   107   115     3     4.6   40.2   16584   29.6   10.6   0.4   0.4   0.3   2.2   2.7   1.8   2.7   2.2   0.0   0.0   0.1   0.5   0.6   0.6   0.5  0.97  0.78  0.45  0.00  0.00   63.05  120.07    1.97    0.00    1.67
 1990 320   108   115     3     4.7   39.7   16583   29.1   10.6   0.2   0.4   0.4   1.6   2.7   1.9   2.6   2.2   0.0   0.0   0.1   0.5   0.7   0.6   0.5  0.96  0.76  0.45  0.00  0.00   63.85  120.76    1.97    0.00    1.67
 1990 321   109   115     3     5.2   35.7   16583   25.0   10.7   0.3   0.3   0.3   1.3   2.2   1.6   2.3   2.3   0.0   0.0   0.2   0.6   0.7   0.6   0.6  0.90  0.73  0.45  0.00  0.00   64.63  120.89    1.97    0.00    1.67
 1990 322   110   115     3     5.3   32.2   16582   21.7   10.4   0.6   0.3   0.3   1.0   1.7   1.3   2.0   2.3   0.0   0.0   0.1   0.7   0.7   0.6   0.6  0.84  0.71  0.45  0.00  0.00   65.43  121.29    1.97    0.00    1.68
 1990 323   111   115     3     5.3   29.1   16581   19.3    9.8   0.3   0.5   0.3   0.8   1.3   1.1   1.7   2.3   0.0   0.0   0.1   0.5   0.6   0.6   0.6  0.79  0.68  0.44  0.00  0.00   66.22  121.94    1.97    0.00    1.68
 1990 324   112   115     3     5.3   29.9   16580   20.0    9.9   0.5   0.6   0.4   0.8   1.4   1.1   1.8   2.3   0.0   0.0   0.1   0.5   0.7   0.6   0.6  0.80  0.67  0.44  0.00  0.00   67.01  122.62    1.97    0.00    1.68
 1990 325   113   115     3     5.3   30.7   16580   20.7   10.0   0.7   0.8   0.5   0.9   1.4   1.1   1.8   2.3   0.0   0.0   0.1   0.5   0.8   0.6   0.6  0.82  0.66  0.44  0.00  0.00   67.83  123.31    1.97    0.00    1.68
 1990 326   114   115     3     5.3   31.6   16579   21.5   10.1   0.9   1.0   0.6   0.9   1.5   1.1   1.8   2.3   0.0   0.0   0.1   0.5   0.8   0.6   0.6  0.83  0.65  0.44  0.00  0.00   68.69  124.07    1.97    0.00    1.68
 1990 327   115   115     3     5.3   32.5   16578   22.2   10.2   1.0   1.1   0.7   1.0   1.5   1.1   1.8   2.3   0.0   0.0   0.1   0.5   0.9   0.6   0.6  0.84  0.64  0.44  0.00  0.00   69.55  124.84    1.97    0.00    1.68
 1990 328   116   115     3     5.3   33.3   16577   23.0   10.3   1.2   1.3   0.8   1.0   1.5   1.2   1.9   2.3   0.0   0.0   0.1   0.5   0.9   0.6   0.6  0.85  0.63  0.44  0.00  0.00   70.41  125.62    1.98    0.00    1.69
 1990 329   117   115     3     5.3   34.2   16577   23.8   10.4   1.4   1.5   0.9   1.1   1.6   1.2   1.9   2.3   0.0   0.0   0.1   0.5   0.9   0.6   0.6  0.87  0.63  0.44  0.00  0.00   71.24  126.37    1.98    0.00    1.69
 1990 330   118   115     3     5.3   35.0   16576   24.5   10.4   1.0   1.7   1.2   1.1   1.6   1.2   1.9   2.3   0.0   0.0   0.1   0.5   0.9   0.6   0.6  0.88  0.62  0.44  0.00  0.00   72.07  127.13    1.98    0.00    1.69
 1990 331   119   115     3     5.3   35.8   16575   24.9   10.9   1.0   1.6   1.3   1.2   1.7   1.2   1.9   2.3   0.0   0.0   0.3   0.6   1.1   0.6   0.6  0.89  0.61  0.44  0.00  0.00   72.87  127.49    1.98    0.00    1.69
 1990 332   120   115     3     5.3   36.5   16574   25.6   10.9   1.4   1.7   1.4   1.3   1.7   1.2   1.9   2.3   0.0   0.0   0.1   0.7   1.1   0.6   0.6  0.90  0.60  0.43  0.00  0.00   73.64  128.21    1.98    0.00    1.69
 1990 333   121   115     3     5.3   37.3   16574   26.4   10.9   1.4   1.9   1.5   1.3   1.7   1.2   1.9   2.3   0.0   0.0   0.1   0.7   1.1   0.6   0.6  0.91  0.59  0.42  0.00  0.00   74.38  128.98    1.98    0.00    1.70
 1990 334   122   115     3     5.3   38.0   16573   27.2   10.8   1.6   2.1   1.6   1.4   1.8   1.2   2.0   2.3   0.0   0.0   0.1   0.6   1.1   0.6   0.6  0.91  0.59  0.41  0.00  0.00   75.10  129.77    1.98    0.00    1.70
 1990 335   123   115     3     5.3   38.7   16572   27.9   10.8   1.8   2.2   1.8   1.4   1.8   1.2   2.0   2.4   0.0   0.0   0.1   0.6   1.1   0.6   0.6  0.92  0.58  0.40  0.00  0.00   75.80  130.51    1.98    0.00    1.70
 1990 336   124   115     3     5.3   39.4   16572   28.6   10.8   1.9   2.4   1.9   1.5   1.9   1.3   2.0   2.4   0.0   0.0   0.1   0.6   1.1   0.6   0.6  0.93  0.57  0.40  0.00  0.00   76.50  131.25    1.98    0.00    1.70
 1990 337   125   115     3     5.3   40.1   16571   29.4   10.7   1.7   2.7   2.0   1.5   1.9   1.3   2.0   2.4   0.0   0.0   0.1   0.5   1.1   0.6   0.5  0.94  0.56  0.39  0.00  0.00   77.20  131.98    1.98    0.00    1.70
