*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 19, 2016; 14:33:09

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0218 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 259    31     0     0     1.2  114.0   16629   96.6   17.4   1.3   6.0  14.9  13.2  10.4   3.2   1.6   1.1   0.0   0.0   0.2   0.8   1.6   0.9   0.9  1.65  0.87  0.66  0.00  0.00   17.30   23.86    0.44    0.00    0.00
 2000 260    32     0     0     1.5  113.8   16628   96.2   17.6   1.5   6.0  14.6  12.9  10.3   3.3   1.7   1.2   0.0   0.0   0.2   0.8   1.7   0.9   0.9  1.66  0.88  0.66  0.00  0.00   17.72   24.06    0.69    0.00    0.00
 2000 261    33     0     0     1.7  113.7   16628   96.0   17.7   1.7   6.0  14.5  12.7  10.2   3.4   1.7   1.2   0.0   0.0   0.1   0.8   1.7   0.9   0.9  1.68  0.88  0.66  0.00  0.00   18.12   24.35    0.84    0.00    0.00
 2000 262    34     0     0     1.7  113.8   16628   96.0   17.8   1.2   5.2  14.0  13.1  10.6   3.5   1.8   1.2   0.0   0.0   0.1   0.7   1.8   0.9   0.9  1.69  0.89  0.65  0.00  0.00   18.53   24.64    0.90    0.00    0.00
 2000 263    35     0     0     2.5  113.1   16627   95.0   18.1   0.6   3.5  11.0  11.6  10.9   4.9   2.6   1.6   0.0   0.0   0.2   0.8   1.8   0.9   0.9  1.70  0.89  0.65  0.00  0.00   18.99   24.78    1.21    0.00    0.00
 2000 264    36     0     0     2.8  112.6   16627   94.2   18.4   0.6   3.3  10.4  11.3  10.8   5.0   2.7   1.6   0.0   0.0   0.1   0.8   1.9   1.0   1.0  1.72  0.89  0.65  0.00  0.00   19.49   24.96    1.63    0.00    0.00
 2000 265    37     0     0     3.5  111.6   16626   92.8   18.8   0.6   3.2  10.0  10.8  10.5   5.1   2.9   1.7   0.0   0.0   0.2   0.9   1.9   1.0   1.0  1.74  0.90  0.65  0.00  0.00   20.03   25.10    2.06    0.00    0.00
 2000 266    38     0     0     4.0  111.2   16625   92.2   19.0   0.8   3.1   9.7  10.6  10.3   5.1   3.0   1.8   0.0   0.0   0.1   0.9   2.0   1.0   1.0  1.75  0.91  0.65  0.00  0.00   20.58   25.36    2.30    0.00    0.00
 2000 267    39     0     0     4.1  111.0   16625   91.9   19.1   0.9   3.2   9.5  10.5  10.3   5.2   3.0   1.8   0.0   0.0   0.1   0.9   2.0   1.0   1.0  1.77  0.91  0.65  0.00  0.00   21.13   25.79    2.44    0.00    0.00
 2000 268    40     0     0     4.3  110.9   16624   92.0   19.0   1.1   3.3   9.5  10.4  10.2   5.2   3.0   1.9   0.0   0.0   0.1   0.8   1.9   1.1   1.0  1.78  0.91  0.65  0.00  0.00   21.69   26.42    2.52    0.00    0.00
