*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0397 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 004   137  28.60  30.70  12.90  6.873  0.492  0.492  0.000  0.000  337.2  184.9  152.3    0.0
 2000 005   138  28.90  32.60  16.30  7.278  0.464  0.464  0.000  0.000  337.6  185.3  152.3    0.0
 2000 006   139  32.10  34.30  15.30  8.176  0.452  0.452  0.000  0.000  338.1  185.8  152.3    0.0
 2000 007   140  31.30  35.60  18.10  8.470  0.427  0.427  0.000  0.000  338.5  186.2  152.3    0.0
 2000 008   141  33.00  37.00  17.40  9.576  0.415  0.415  0.000  0.000  338.9  186.6  152.3    0.0
 2000 009   142  21.20  36.80  20.00  6.197  0.394  0.394  0.000  0.000  339.3  187.0  152.3    0.0
 2000 010   143  25.30  34.20  19.20  6.619  1.183  0.383  0.800  0.000  340.5  187.4  153.1    0.0
 2000 011   144  32.10  34.80  17.60  8.357  1.363  0.363  1.000  0.000  341.9  187.8  154.1    0.0
 2000 012   145  25.60  36.00  18.60  7.105  0.353  0.353  0.000  0.000  342.2  188.1  154.1    0.0
 2000 013   146  29.40  37.20  19.10  8.721  0.336  0.336  0.000  0.000  342.6  188.4  154.1    0.0
 2000 014   147   9.00  24.00  20.70  2.152  1.873  0.479  1.395  0.000  344.4  188.9  155.5    0.0
 2000 015   148  21.90  31.80  21.00  5.783  5.783  1.614  4.169  0.000  350.2  190.5  159.7    0.0
 2000 016   149  22.40  34.00  20.40  6.085  6.085  1.346  4.739  0.000  356.3  191.9  164.4    0.0
 2000 017   150   9.90  28.60  20.60  2.562  2.408  0.636  1.772  0.000  358.7  192.5  166.2    0.0
 2000 018   151  31.00  30.90  16.80  8.056  4.662  1.636  3.026  0.000  363.4  194.2  169.2    0.0
 2000 019   152  30.30  30.90  17.30  7.948  2.749  1.310  1.439  0.000  366.1  195.5  170.7    0.0
 2000 020   153  30.80  34.30  16.30  8.361  2.222  1.115  1.108  0.000  368.4  196.6  171.8    0.0
 2000 021   154  23.60  35.00  17.70  6.544  1.638  0.703  0.935  0.000  370.0  197.3  172.7    0.0
 2000 022   155  12.00  28.00  21.00  3.169  1.099  0.275  0.824  0.000  371.1  197.6  173.5    0.0
 2000 023   156  29.40  28.70  17.60  7.648  1.281  0.536  0.746  0.000  372.4  198.1  174.3    0.0
 2000 024   157  21.40  28.50  17.60  5.566  1.000  0.314  0.686  0.000  373.4  198.4  175.0    0.0

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:27

*RUN   2        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0397 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 232     0  17.30  27.50   8.20  4.165  1.315  0.000  1.315  0.000    1.3    0.0    1.3    0.0
 2000 233     1   5.00  18.40  14.40  1.130  0.952  0.000  0.952  0.000    2.3    0.0    2.3    0.0
 2000 234     2   8.50  24.00  15.80  2.086  2.086  0.000  2.086  0.000    4.4    0.0    4.4    0.0
 2000 235     3  10.00  25.30  14.70  2.470  2.470  0.000  2.470  0.000    6.8    0.0    6.8    0.0
 2000 236     4   7.60  21.60  15.60  1.808  1.808  0.000  1.808  0.000    8.6    0.0    8.6    0.0
 2000 237     5   5.50  18.00  16.10  1.255  1.255  0.000  1.255  0.000    9.9    0.0    9.9    0.0
 2000 238     6   5.20  16.10  11.80  1.113  1.113  0.000  1.113  0.000   11.0    0.0   11.0    0.0
 2000 239     7  17.20  16.40   7.10  3.538  3.538  0.000  3.538  0.000   14.5    0.0   14.5    0.0
 2000 240     8  19.20  18.90   3.60  3.959  2.413  0.000  2.413  0.000   16.9    0.0   16.9    0.0
 2000 241     9  17.70  11.30   2.00  3.195  1.880  0.000  1.880  0.000   18.8    0.0   18.8    0.0
 2000 242    10  16.60  17.30   2.40  3.305  1.268  0.000  1.268  0.000   20.1    0.0   20.1    0.0
 2000 243    11  17.00  21.40   3.50  3.628  1.025  0.000  1.025  0.000   21.1    0.0   21.1    0.0
 2000 244    12  13.90  15.10   4.80  2.742  0.884  0.000  0.884  0.000   22.0    0.0   22.0    0.0
 2000 245    13  19.20  14.30  -0.90  3.527  0.788  0.000  0.788  0.000   22.8    0.0   22.8    0.0
 2000 246    14  19.30  15.90  -0.80  3.638  0.733  0.015  0.719  0.000   23.5    0.0   23.5    0.0
 2000 247    15  19.60  16.90   0.40  3.799  0.681  0.016  0.665  0.000   24.2    0.0   24.2    0.0
 2000 248    16  20.10  20.40   3.40  4.223  0.640  0.018  0.621  0.000   24.8    0.0   24.8    0.0
 2000 249    17  19.00  20.40   1.10  3.905  0.603  0.018  0.586  0.000   25.4    0.1   25.4    0.0
 2000 250    18  20.50  21.50   3.40  4.373  0.576  0.021  0.555  0.000   26.0    0.1   25.9    0.0
 2000 251    19  19.60  26.00   9.20  4.666  0.552  0.023  0.529  0.000   26.6    0.1   26.5    0.0
 2000 252    20  19.30  27.00  13.10  4.800  0.533  0.026  0.507  0.000   27.1    0.1   27.0    0.0
 2000 253    21   5.90  22.20  13.90  1.393  1.393  0.005  1.388  0.000   28.5    0.1   28.4    0.0
 2000 254    22  11.40  23.80  15.90  2.790  2.790  0.011  2.779  0.000   31.3    0.2   31.1    0.0
 2000 255    23   8.80  21.90  11.30  2.024  2.024  0.009  2.015  0.000   33.3    0.2   33.2    0.0
 2000 256    24  10.50  14.60   7.60  2.112  1.759  0.016  1.744  0.000   35.1    0.2   34.9    0.0
 2000 257    25   6.10   9.50   6.20  1.118  1.118  0.005  1.113  0.000   36.2    0.2   36.0    0.0
 2000 258    26   6.20  10.70   7.90  1.179  1.179  0.006  1.174  0.000   37.4    0.2   37.2    0.0
 2000 259    27   7.70  14.60   9.10  1.571  1.571  0.007  1.564  0.000   38.9    0.2   38.8    0.0
 2000 260    28  13.50  16.70  10.50  2.876  2.876  0.014  2.862  0.000   41.8    0.2   41.6    0.0
 2000 261    29  14.50  19.40   8.00  3.133  2.056  0.026  2.031  0.000   43.9    0.2   43.6    0.0
 2000 262    30   6.30  18.00  14.60  1.417  1.417  0.007  1.410  0.000   45.3    0.2   45.1    0.0
