*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 19:11:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0384 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 1999 341   109  23.0  22.0  20.6  19.4  18.6  17.9  17.5  17.5   0.0   0.0
 1999 342   110  23.6  22.5  21.0  19.7  18.8  18.0  17.6  17.5   0.0   0.0
 1999 343   111  23.4  22.3  20.8  19.6  18.7  17.9  17.6  17.5   0.0   0.0
 1999 344   112  25.0  23.7  22.0  20.4  19.3  18.3  17.8  17.7   0.0   0.0
 1999 345   113  26.5  25.0  23.0  21.2  19.9  18.7  18.1  17.8   0.0   0.0
 1999 346   114  27.2  25.7  23.5  21.6  20.2  18.9  18.2  17.9   0.0   0.0
 1999 347   115  27.0  25.4  23.4  21.5  20.1  18.9  18.2  17.9   0.0   0.0
 1999 348   116  26.7  25.3  23.2  21.4  20.1  18.8  18.1  17.9   0.0   0.0
 1999 349   117  26.9  25.4  23.3  21.4  20.1  18.9  18.1  17.9   0.0   0.0
 1999 350   118  27.3  25.7  23.6  21.6  20.3  18.9  18.2  17.9   0.0   0.0
 1999 351   119  28.3  26.6  24.3  22.2  20.7  19.2  18.4  18.0   0.0   0.0
 1999 352   120  30.0  28.1  25.4  23.0  21.3  19.6  18.6  18.2   0.0   0.0
 1999 353   121  30.4  28.4  25.7  23.2  21.4  19.7  18.7  18.2   0.0   0.0
 1999 354   122  30.4  28.5  25.8  23.3  21.5  19.7  18.7  18.3   0.0   0.0
 1999 355   123  30.1  28.2  25.6  23.2  21.4  19.7  18.7  18.2   0.0   0.0
 1999 356   124  29.6  27.8  25.2  22.9  21.2  19.5  18.6  18.2   0.0   0.0
 1999 357   125  28.5  26.8  24.5  22.3  20.8  19.3  18.4  18.0   0.0   0.0
 1999 358   126  29.2  27.4  24.9  22.7  21.0  19.4  18.5  18.1   0.0   0.0
 1999 359   127  30.4  28.5  25.8  23.3  21.5  19.8  18.7  18.3   0.0   0.0
 1999 360   128  31.8  29.7  26.7  24.0  22.1  20.1  18.9  18.4   0.0   0.0
 1999 361   129  33.4  31.1  27.8  24.9  22.7  20.5  19.2  18.6   0.0   0.0
 1999 362   130  32.9  30.6  27.5  24.6  22.5  20.4  19.1  18.5   0.0   0.0
 1999 363   131  31.2  29.2  26.4  23.8  21.9  20.0  18.8  18.3   0.0   0.0
 1999 364   132  28.8  27.1  24.7  22.6  21.0  19.4  18.5  18.1   0.0   0.0
 1999 365   133  27.1  25.7  23.6  21.7  20.3  19.0  18.2  17.9   0.0   0.0
 2000 001   134  25.7  24.4  22.6  20.9  19.7  18.6  18.0  17.7   0.0   0.0
 2000 002   135  26.6  25.2  23.2  21.4  20.1  18.9  18.1  17.8   0.0   0.0
 2000 003   136  27.8  26.2  24.1  22.1  20.6  19.2  18.3  18.0   0.0   0.0
 2000 004   137  29.0  27.3  24.9  22.7  21.0  19.4  18.5  18.1   0.0   0.0
 2000 005   138  29.6  27.8  25.3  23.0  21.3  19.6  18.6  18.2   0.0   0.0
 2000 006   139  30.5  28.6  25.9  23.4  21.6  19.8  18.7  18.3   0.0   0.0
 2000 007   140  31.5  29.5  26.7  24.0  22.1  20.1  18.9  18.4   0.0   0.0
 2000 008   141  32.8  30.6  27.5  24.7  22.5  20.4  19.1  18.5   0.0   0.0
 2000 009   142  33.8  31.4  28.2  25.2  22.9  20.7  19.2  18.6   0.0   0.0
 2000 010   143  34.1  31.7  28.4  25.3  23.0  20.7  19.3  18.7   0.0   0.0
 2000 011   144  34.2  31.8  28.5  25.4  23.1  20.8  19.3  18.7   0.0   0.0
 2000 012   145  34.1  31.8  28.5  25.4  23.1  20.8  19.3  18.7   0.0   0.0
 2000 013   146  34.1  31.7  28.5  25.4  23.1  20.8  19.3  18.7   0.0   0.0
 2000 014   147  32.0  30.0  27.1  24.4  22.3  20.3  19.0  18.5   0.0   0.0
