*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 17:50:38

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0265 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1999 265    33     0     0     0.0   72.2   16628   58.2   14.0   4.2   9.7   9.9   6.8   4.1   0.6   1.1   1.1   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.58  0.75  0.56  0.00  0.00   18.54   28.41    0.00    0.00    0.00
 1999 266    34     0     0     0.0   72.7   16627   58.8   13.9   4.3   9.8  10.0   6.8   4.1   0.6   1.2   1.1   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.58  0.74  0.54  0.00  0.00   19.12   29.09    0.00    0.00    0.00
 1999 267    35     0     0     0.0   73.2   16626   59.4   13.8   4.5   9.9  10.0   6.9   4.2   0.6   1.2   1.1   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.58  0.72  0.53  0.00  0.00   19.66   29.73    0.00    0.00    0.00
 1999 268    36     0     0     0.0   73.6   16626   59.9   13.7   4.6   9.9  10.1   6.9   4.2   0.7   1.2   1.2   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.58  0.71  0.52  0.00  0.00   20.20   30.36    0.00    0.00    0.00
 1999 269    37     0     0     0.0   74.1   16625   60.5   13.6   4.8  10.0  10.2   7.0   4.2   0.7   1.2   1.2   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.58  0.70  0.50  0.00  0.00   20.72   30.96    0.00    0.00    0.00
 1999 270    38     0     0     0.0   74.6   16625   61.0   13.5   4.9  10.0  10.3   7.0   4.3   0.7   1.2   1.2   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.69  0.49  0.00  0.00   21.21   31.53    0.00    0.00    0.00
 1999 271    39     0     0     0.0   74.9   16624   61.5   13.4   5.0  10.0  10.3   7.0   4.3   0.7   1.3   1.2   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.68  0.48  0.00  0.00   21.70   32.09    0.00    0.00    0.00
 1999 272    40     0     0     0.0   75.3   16624   62.0   13.3   5.2  10.1  10.4   7.1   4.3   0.7   1.3   1.2   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.67  0.47  0.00  0.00   22.18   32.65    0.00    0.00    0.00
 1999 273    41     0     0     0.0   75.7   16623   62.4   13.3   5.3  10.1  10.5   7.1   4.3   0.7   1.3   1.2   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.66  0.46  0.00  0.00   22.64   33.18    0.00    0.00    0.00
 1999 274    42     0     0     0.0   76.1   16623   62.9   13.2   3.8  11.0  10.5   7.1   4.4   0.8   1.3   1.3   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.65  0.44  0.00  0.00   23.12   33.71    0.00    0.00    0.00
