*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1999 337   105   102   121.0     0.0   101.9    0.00    3.02     42.0   103.2    64.9    37.0    4.80    1.83     3.8    1.3    3.2    1.67    1.93
 1999 338   106   103   126.1     0.0   104.2    0.00    3.00     46.6   104.2    66.0    38.2    4.78    1.82     3.8    1.3    4.6    1.75    2.03
 1999 339   107   104   128.5     0.0   103.8    0.00    2.97     47.9   105.4    65.8    38.1    4.75    1.80     3.8    1.3    1.3    1.81    2.09
 1999 340   108   105   133.2     0.0   106.0    0.00    2.96     52.4   106.0    66.9    39.1    4.75    1.80     3.8    1.3    4.4    1.85    2.14
 1999 341   109   106   137.0     0.0   107.3    0.00    2.95     56.2   106.3    67.5    39.8    4.74    1.80     3.8    1.3    3.8    1.90    2.20
 1999 342   110   107   141.8     0.0   109.3    0.00    2.93     61.1   106.7    68.5    40.9    4.72    1.79     3.8    1.3    4.7    1.99    2.28
 1999 343   111   108   146.0     0.0   111.5    0.00    2.90     66.0   107.3    69.5    42.0    4.70    1.78     3.7    1.3    4.8    2.79    2.38
 1999 344   112   109   149.5     0.1   113.5    6.23    2.88     70.7   108.0    70.4    43.1    4.69    1.77     3.7    1.3    4.7    4.38    2.49
 1999 345   113   110   153.0     0.3   114.6    6.27    2.86     74.6   108.8    70.8    43.8    4.67    1.76     3.7    1.3    3.9    5.41    2.60
 1999 346   114   111   154.6     0.7   113.8    6.25    2.84     77.0   109.6    70.3    43.5    4.64    1.75     3.7    1.3    2.4    6.75    2.70
 1999 347   115   112   156.4     1.2   113.2    6.22    2.82     80.4   110.4    69.8    43.4    4.62    1.74     3.7    1.3    3.4    8.27    2.80
 1999 348   116   113   161.2     1.9   114.7    6.21    2.81     85.2   111.5    70.4    44.3    4.61    1.74     3.7    1.3    4.8    9.15    2.90
 1999 349   117   114   165.7     2.6   115.8    6.25    2.80     90.4   111.9    70.8    45.0    4.60    1.73     3.7    1.3    5.0    9.88    3.02
 1999 350   118   115   170.0     3.4   117.0    6.26    2.79     95.8   112.4    71.2    45.8    4.59    1.73     3.6    1.3    5.2   11.05    3.13
 1999 351   119   116   173.2     4.3   117.2    6.28    2.77    100.9   113.4    71.1    46.0    4.57    1.72     3.6    1.3    5.1   12.37    3.25
 1999 352   120   117   175.8     5.4   116.9    6.33    2.74    105.4   114.1    70.8    46.1    4.54    1.71     3.6    1.3    4.5   13.87    3.38
 1999 353   121   118   178.4     6.7   116.5    6.35    2.72    110.8   114.7    70.4    46.1    4.52    1.69     3.6    1.2    5.4   15.78    3.50
 1999 354   122   119   181.4     8.0   116.5    6.32    2.70    116.1   115.8    70.3    46.3    4.50    1.68     3.6    1.2    5.3   17.47    3.61
 1999 355   123   120   183.2     9.7   115.6    6.32    2.68    120.3   116.4    69.6    46.0    4.47    1.67     3.6    1.2    4.2   19.60    3.72
 1999 356   124   121   185.7    11.6   115.1    6.31    2.66    125.9   117.4    69.2    45.9    4.45    1.66     3.6    1.2    5.4   22.06    3.83
 1999 357   125   122   188.3    13.5   115.0    6.29    2.64    131.5   118.4    69.0    46.0    4.42    1.64     3.5    1.2    5.6   24.34    3.91
 1999 358   126   123   191.8    15.9   114.3    6.30    2.62    136.6   119.2    68.5    45.9    4.40    1.63     3.5    1.2    5.1   25.37    4.02
 1999 359   127   124   195.0    18.3   114.2    6.35    2.61    141.7   119.6    68.2    46.0    4.39    1.63     3.5    1.2    5.1   27.13    4.14
 1999 360   128   125   195.9    20.6   113.0    6.41    2.59    144.2   120.6    67.5    45.6    4.36    1.62     3.5    1.2    2.4   29.70    4.27
 1999 361   129   126   198.7    23.3   111.8    6.48    2.58    146.9   121.6    66.7    45.1    4.34    1.61     3.5    1.2    2.7   30.63    4.40
 1999 362   130   127   199.0    26.8   109.7    6.45    2.55    148.6   121.9    65.5    44.2    4.31    1.59     3.4    1.2    1.8   32.01    4.51
 1999 363   131   128   200.8    30.5   107.5    6.42    2.53    150.8   123.5    64.2    43.3    4.27    1.57     3.4    1.2    2.2   33.01    4.61
