*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 298    78   148      1    107    279     1    42   125  0.440  0.469  0.465  0.381  0.388  0.418  0.410  0.397  0.000  0.000
 1990 299    79   142      1    107    279     1    42   125  0.419  0.457  0.456  0.376  0.382  0.416  0.410  0.397  0.000  0.000
 1990 300    80   138      1    107    279     1    42   125  0.407  0.447  0.448  0.373  0.379  0.413  0.410  0.397  0.000  0.000
 1990 301    81   136      1    107    279     1    42   125  0.406  0.441  0.444  0.372  0.378  0.412  0.410  0.397  0.000  0.000
 1990 302    82   138      1    107    285     1    42   125  0.511  0.434  0.439  0.370  0.376  0.410  0.410  0.397  0.000  0.000
 1990 303    83   153      1    107    306     1    42   125  0.528  0.568  0.460  0.366  0.372  0.406  0.410  0.397  0.000  0.000
 1990 304    84   147      1    107    306     1    42   125  0.522  0.531  0.462  0.364  0.369  0.402  0.410  0.397  0.000  0.000
 1990 305    85   144      1    107    308     1    42   125  0.545  0.516  0.458  0.362  0.367  0.397  0.409  0.397  0.000  0.000
 1990 306    86   140      1    107    308     1    42   125  0.512  0.512  0.455  0.361  0.366  0.392  0.409  0.397  0.000  0.000
 1990 307    87   137      1    107    308     1    42   125  0.504  0.502  0.454  0.361  0.365  0.389  0.409  0.397  0.000  0.000
 1990 308    88   166      1    107    341     1    42   125  0.555  0.556  0.563  0.400  0.363  0.385  0.408  0.397  0.000  0.000
 1990 309    89   161      1    107    341     1    42   125  0.536  0.543  0.543  0.408  0.362  0.381  0.408  0.397  0.000  0.000
 1990 310    90   157      1    107    341     1    42   125  0.532  0.535  0.535  0.405  0.363  0.379  0.408  0.397  0.000  0.000
 1990 311    91   154      1    107    343     1    42   125  0.549  0.533  0.525  0.399  0.362  0.376  0.407  0.397  0.000  0.000
 1990 312    92   153      1    107    343     1    42   125  0.533  0.533  0.523  0.397  0.362  0.375  0.407  0.397  0.000  0.000
 1990 313    93   149      1    107    343     1    42   125  0.523  0.525  0.517  0.393  0.362  0.373  0.406  0.397  0.000  0.000
 1990 314    94   145      1    107    343     1    42   125  0.522  0.516  0.509  0.387  0.361  0.371  0.406  0.397  0.000  0.000
 1990 315    95   140      1    107    343     1    42   125  0.504  0.507  0.499  0.381  0.360  0.369  0.405  0.397  0.000  0.000
 1990 316    96   138      1    107    343     1    42   125  0.498  0.500  0.494  0.379  0.360  0.368  0.405  0.397  0.000  0.000
 1990 317    97   131      1    107    343     1    42   125  0.479  0.486  0.480  0.373  0.358  0.365  0.404  0.397  0.000  0.000
 1990 318    98   129      1    107    345     1    42   125  0.510  0.477  0.472  0.371  0.357  0.363  0.403  0.397  0.000  0.000
 1990 319    99   127      1    107    345     1    42   125  0.492  0.478  0.468  0.370  0.356  0.362  0.403  0.397  0.000  0.000
 1990 320   100   177      1    107    398     1    42   125  0.552  0.562  0.561  0.468  0.424  0.361  0.401  0.397  0.000  0.000
 1990 321   101   171      1    107    398     1    42   125  0.533  0.546  0.545  0.447  0.423  0.370  0.399  0.396  0.000  0.000
 1990 322   102   164      1    107    398     1    42   125  0.526  0.533  0.536  0.435  0.421  0.368  0.395  0.396  0.000  0.000
 1990 323   103   158      1    107    398     1    42   125  0.515  0.523  0.527  0.427  0.412  0.366  0.390  0.396  0.000  0.000
 1990 324   104   155      1    107    398     1    42   125  0.514  0.519  0.523  0.423  0.409  0.366  0.388  0.396  0.000  0.000
 1990 325   105   149      1    107    400     1    42   125  0.530  0.510  0.514  0.415  0.401  0.364  0.381  0.395  0.000  0.000
 1990 326   106   143      1    107    400     1    42   125  0.502  0.509  0.507  0.408  0.393  0.363  0.376  0.395  0.000  0.000
 1990 327   107   136      1    107    400     1    42   125  0.489  0.499  0.498  0.400  0.386  0.362  0.371  0.394  0.000  0.000
 1990 328   108   131      1    107    400     1    42   125  0.478  0.489  0.490  0.392  0.381  0.360  0.368  0.393  0.000  0.000
 1990 329   109   126      1    107    400     1    42   125  0.470  0.481  0.483  0.386  0.378  0.359  0.366  0.393  0.000  0.000
