*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:12:08

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0027 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 255    64    61    4.8    0.0    4.8   0.00   3.75    4.4    4.2    0.5    3.7   3.75   1.19    0.00    0.08
 1990 256    65    62    5.2    0.0    5.2   0.00   3.96    5.1    4.7    0.6    4.0   3.96   1.37    0.00    0.08
 1990 257    66    63    5.4    0.0    5.4   0.00   3.96    5.4    4.8    0.6    4.0   3.96   1.38    0.00    0.09
 1990 258    67    64    5.5    0.0    5.5   0.00   3.82    5.6    5.0    0.5    3.8   3.82   1.21    0.00    0.10
 1990 259    68    65    5.9    0.0    5.9   0.00   3.74    6.0    5.3    0.5    3.7   3.74   1.17    0.00    0.10
 1990 260    69    66    6.3    0.0    6.3   0.00   3.83    6.5    5.8    0.5    3.8   3.83   1.16    0.00    0.11
 1990 261    70    67    6.7    0.0    6.7   0.00   3.91    6.8    6.1    0.5    3.9   3.91   1.09    0.00    0.12
 1990 262    71    68    6.9    0.0    6.9   0.00   3.74    7.0    6.4    0.5    3.7   3.74   1.10    0.00    0.12
 1990 263    72    69    7.4    0.0    7.4   0.00   3.50    7.6    6.9    0.5    3.5   3.50   1.10    0.00    0.13
 1990 264    73    70    8.4    0.0    8.4   0.00   3.68    8.6    7.9    0.5    3.7   3.68   1.09    0.00    0.14
 1990 265    74    71    9.1    0.0    9.1   0.00   3.49    9.7    8.6    0.5    3.5   3.49   1.25    0.00    0.14
 1990 266    75    72   10.4    0.0   10.4   0.00   3.93   11.1    9.8    0.5    3.9   3.93   1.29    0.00    0.15
 1990 267    76    73   10.5    0.0   10.5   0.00   3.87   11.8    9.9    0.5    3.9   3.87   1.41    0.00    0.16
 1990 268    77    74   10.7    0.0   10.7   0.00   3.77   12.4   10.2    0.5    3.8   3.77   1.31    0.00    0.18
 1990 269    78    75   11.2    0.0   11.2   0.00   3.71   13.3   10.7    0.5    3.7   3.71   1.24    0.00    0.19
 1990 270    79    76   11.9    0.0   11.9   0.00   3.53   14.3   11.4    0.5    3.5   3.53   1.21    0.00    0.21
 1990 271    80    77   13.1    0.0   13.1   0.00   3.61   15.8   12.6    0.5    3.6   3.61   1.17    0.00    0.23
 1990 272    81    78   14.1    0.0   14.1   0.00   3.79   17.5   13.5    0.5    3.8   3.79   1.21    0.00    0.24
 1990 273    82    79   14.5    0.0   14.5   0.00   3.39   18.3   14.0    0.5    3.4   3.39   1.18    0.00    0.27
 1990 274    83    80   16.3    0.0   16.3   0.00   3.28   20.8   15.8    0.5    3.3   3.28   1.19    0.00    0.29
 1990 275    84    81   20.5    0.0   20.5   0.00   3.78   26.1   19.9    0.5    3.8   3.78   1.22    0.00    0.32
 1990 276    85    82   21.9    0.0   21.9   0.00   3.68   28.0   21.4    0.5    3.7   3.68   1.17    0.00    0.36
 1990 277    86    83   23.4    0.0   23.4   0.00   3.57   28.9   22.9    0.5    3.6   3.57   1.08    0.00    0.39
 1990 278    87    84   25.0    0.0   25.0   0.00   3.54   30.7   24.5    0.5    3.5   3.54   1.09    0.00    0.43
 1990 279    88    85   26.4    0.0   26.4   0.00   3.55   32.3   25.8    0.6    3.6   3.55   1.10    0.00    0.46
 1990 280    89    86   27.8    0.0   27.8   0.00   3.49   33.8   27.2    0.6    3.5   3.49   1.09    0.00    0.50
 1990 281    90    87   29.7    0.0   29.7   0.00   3.47   36.8   29.0    0.7    3.5   3.47   1.16    0.00    0.53
 1990 282    91    88   32.2    0.0   32.2   0.00   3.44   40.9   31.4    0.8    3.4   3.44   1.20    0.00    0.57
 1990 283    92    89   34.6    0.0   34.6   0.00   3.41   44.8   33.7    0.9    3.4   3.41   1.21    0.00    0.62
 1990 284    93    90   37.3    0.0   37.3   0.00   3.38   46.7   36.1    1.2    3.4   3.38   1.10    0.00    0.68
 1990 285    94    91   39.2    0.0   39.2   0.00   3.36   51.4   37.9    1.3    3.4   3.36   1.21    0.00    0.73
 1990 286    95    92   41.5    0.0   41.5   0.00   3.34   55.0   39.9    1.6    3.3   3.34   1.18    0.00    0.80
 1990 287    96    93   43.8    0.0   43.8   0.00   3.31   58.8   41.9    1.9    3.3   3.31   1.18    0.00    0.87
 1990 288    97    94   45.3    0.0   45.3   0.00   3.30   62.3   43.2    2.1    3.3   3.30   1.19    0.00    0.95
 1990 289    98    95   46.9    0.0   46.9   0.00   3.28   65.6   44.5    2.4    3.3   3.28   1.18    0.00    1.04
 1990 290    99    96   49.4    0.0   49.4   0.00   3.26   69.6   46.6    2.8    3.3   3.26   1.16    0.00    1.14
 1990 291   100    97   52.9    0.0   52.9   0.00   3.22   74.4   49.4    3.5    3.2   3.22   1.15    0.00    1.25
 1990 292   101    98   56.5    0.0   56.5   0.00   3.19   78.0   52.1    4.4    3.2   3.19   1.11    0.00    1.36
 1990 293   102    99   59.8    0.0   59.8   0.00   3.16   82.7   54.6    5.2    3.2   3.16   1.12    0.00    1.48
 1990 294   103   100   63.4    0.0   63.4   0.00   3.13   87.8   57.1    6.3    3.1   3.13   1.13    0.00    1.60
 1990 295   104   101   67.4    0.0   67.4   0.00   3.10   93.7   59.9    7.6    3.1   3.10   1.14    0.00    1.72
 1990 296   105   102   69.4    0.0   69.4   0.00   3.09   97.8   61.2    8.2    3.1   3.09   1.15    0.00    1.86
 1990 297   106   103   71.8    0.0   71.8   0.00   3.06  102.3   62.7    9.1    3.1   3.06   1.14    0.00    2.01
 1990 298   107   104   75.2    0.0   75.2   0.00   3.04  107.0   64.9   10.3    3.0   3.04   1.13    0.00    2.16
 1990 299   108   105   80.7    0.0   80.7   0.00   3.00  113.0   68.1   12.6    3.0   3.00   1.11    0.00    2.33
 1990 300   109   106   86.5    0.0   86.5   0.00   2.95  118.1   71.2   15.3    2.9   2.95   1.08    0.00    2.50
 1990 301   110   107   89.5    0.0   89.5   0.00   2.86  121.5   72.3   17.2    2.9   2.86   1.08    0.00    2.66
 1990 302   111   108   91.8    0.0   91.8   0.00   2.80  123.7   73.1   18.7    2.8   2.80   1.07    0.00    2.82
 1990 303   112   109   93.8    0.0   93.8   0.00   2.70  126.0   73.3   20.5    2.7   2.70   1.07    0.00    2.99
 1990 304   113   110   95.6    0.0   95.6   0.00   2.59  128.0   73.2   22.4    2.6   2.59   1.05    0.00    3.15
 1990 305   114   111   97.1    0.0   97.1   0.00   2.48  129.9   72.8   24.3    2.5   2.48   1.02    0.00    3.32
 1990 306   115   112   98.0    0.0   98.0   0.00   2.34  130.9   71.7   26.3    2.3   2.34   0.99    0.00    3.49
 1990 307   116   113   98.8    0.0   98.8   0.00   2.19  131.9   70.3   28.5    2.2   2.19   0.98    0.00    3.66
 1990 308   117   114   99.6    0.0   99.6   0.00   2.14  132.9   70.0   29.6    2.1   2.14   0.95    0.00    3.83
 1990 309   118   115  100.5    0.0  100.5   0.00   2.11  134.1   70.0   30.5    2.1   2.11   0.91    0.00    4.00
 1990 310   119   116  101.3    0.0  101.3   0.00   1.99  135.1   70.4   30.9    2.0   1.99   0.89    0.00    4.17
 1990 311   120   117  101.9    0.0  101.9   0.00   1.95  135.9   70.5   31.4    1.9   1.95   0.88    0.00    4.34
 1990 312   121   118  102.4    0.0  102.4   0.00   1.90  136.5   70.3   32.1    1.9   1.90   0.84    0.00    4.52
 1990 313   122   119  102.9    0.0  102.9   0.00   1.83  137.1   69.8   33.2    1.8   1.83   0.82    0.00    4.69
 1990 314   123   120  103.4    0.0  103.4   0.00   1.75  137.7   68.7   34.7    1.7   1.75   0.81    0.00    4.87
 1990 315   124   121  103.9    0.0  103.9   0.00   1.70  138.3   68.1   35.7    1.7   1.70   0.78    0.00    5.04
 1990 316   125   122  104.7    0.0  104.7   0.00   1.66  139.3   67.7   37.0    1.7   1.66   0.77    0.00    5.22
 1990 317   126   123  105.5    0.0  105.5   0.00   1.61  140.4   67.1   38.5    1.6   1.61   0.78    0.00    5.39
 1990 318   127   124  106.2    0.0  106.2   0.00   1.58  141.3   66.6   39.6    1.6   1.58   0.78    0.00    5.57
 1990 319   128   125  106.9    0.0  106.9   0.00   1.54  142.1   65.8   41.1    1.5   1.54   0.78    0.00    5.75
 1990 320   129   126  107.6    0.0  107.6   0.00   1.51  143.0   65.4   42.3    1.5   1.51   0.76    0.00    5.93
 1990 321   130   127  108.5    0.0  108.5   0.00   1.48  144.1   65.1   43.5    1.5   1.48   0.74    0.00    6.11
 1990 322   131   128  109.4    0.0  109.4   0.00   1.45  145.3   64.4   45.0    1.4   1.45   0.72    0.00    6.29
 1990 323   132   129  110.0    0.0  110.0   0.00   1.40  146.0   63.4   46.6    1.4   1.40   0.72    0.00    6.47
 1990 324   133   130  110.3    0.0  110.3   0.00   1.36  146.4   62.6   47.7    1.4   1.36   0.72    0.00    6.66
 1990 325   134   131  110.8    0.0  110.8   0.00   1.33  147.1   61.9   48.9    1.3   1.33   0.71    0.00    6.84
 1990 326   135   132  111.7    0.0  111.7   0.00   1.30  148.2   61.5   50.1    1.3   1.30   0.70    0.00    7.02
 1990 327   136   133  112.5    0.0  112.5   0.00   1.28  149.2   61.1   51.4    1.3   1.28   0.68    0.00    7.21
 1990 328   137   134  113.3    0.0  113.3   0.00   1.39  150.2   65.9   47.4    1.4   1.39   0.68    0.00    7.40
 1990 329   138   135  113.8    0.0  113.8   0.00   1.39  151.0   65.4   48.4    1.4   1.39   0.67    0.00    7.58
 1990 330   139   136  114.2    0.0  114.2   0.00   1.40  151.5   64.9   49.3    1.4   1.40   0.66    0.00    7.77
 1990 331   140   137  114.7    0.0  114.7   0.00   1.41  152.3   64.5   50.2    1.4   1.41   0.64    0.00    7.96
 1990 332   141   138  115.3    0.0  115.3   0.00   1.42  153.2   64.1   51.2    1.4   1.42   0.63    0.00    8.15
 1990 333   142   139  115.9    0.0  115.9   0.00   1.42  154.1   63.6   52.4    1.4   1.42   0.62    0.00    8.34
 1990 334   143   140  116.5    0.0  116.5   0.00   1.43  155.0   63.2   53.3    1.4   1.43   0.63    0.00    8.53
 1990 335   144   141  116.9    0.0  116.9   0.00   1.44  155.7   62.7   54.3    1.4   1.44   0.61    0.00    8.73
 1990 336   145   142  117.3    0.0  117.3   0.00   1.45  156.3   62.0   55.2    1.4   1.45   0.61    0.00    8.92
 1990 337   146   143  117.6    0.0  117.6   0.00   1.46  156.8   61.3   56.2    1.5   1.46   0.60    0.00    9.12
 1990 338   147   144  118.0    0.0  118.0   0.00   1.46  157.6   60.6   57.3    1.5   1.46   0.59    0.00    9.32
 1990 339   148   145  118.3    0.0  118.3   0.00   1.47  158.2   59.8   58.5    1.5   1.47   0.58    0.00    9.52
 1990 340   149   146  118.6    0.0  118.6   0.00   1.48  158.8   59.0   59.6    1.5   1.48   0.59    0.00    9.72
 1990 341   150   147  118.9    0.0  118.9   0.00   1.49  159.4   58.1   60.8    1.5   1.49   0.58    0.00    9.92
