*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1990 235    51    48    6.0      1   0.11     42     14      0     67     56      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.02   0.00   0.00      0      0    267.1   0.00   0.00   0.26   0.39   0.62   0.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 1990 236    52    49    6.0      1   0.11     45     14      0     74     59      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.98   0.00   0.00      0      0    249.9   0.00   0.00   0.26   0.39   0.68   0.34   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 1990 237    53    50    6.0      1   0.14     56     14      0     81     70      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.57   0.00   0.00      0      0    243.5   0.00   0.00   0.27   0.39   0.75   0.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 1990 238    54    51    6.0      1   0.16     69     14      0     92     83      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.47   0.00   0.00      0      0    236.2   0.00   0.00   0.29   0.38   0.84   0.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 1990 239    55    52    6.0      1   0.17     74     14      0     97     88      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.92   0.00   0.00      0      0    233.3   0.00   0.00   0.29   0.41   0.88   0.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 1990 240    56    53    6.0      1   0.14     74     14      0    100     88      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.14   0.00   0.00      0      0    196.0   0.00   0.00   0.29   0.43   0.90   0.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 1990 241    57    54    6.0      1   0.07     76     14      0    108     90      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.05   0.00   0.00      0      0     94.4   0.00   0.00   0.29   0.47   0.95   0.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 1990 242    58    55    6.0      1   0.08     83     14      0    114     97      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.73   0.00   0.00      0      0     93.7   0.00   0.00   0.30   0.50   0.99   0.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 1990 243    59    56    7.0      1   0.08     84     14      0    114     98      0    0.0  0.000      0      0  0.000  0.000  0.010  0.000   4.08   0.00   0.00      0      0     94.7   0.00   0.00   0.30   0.50   0.99   0.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 1990 244    60    57    7.0      1   0.06     84     14      0    114     98      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.12   0.00   0.00      0      0     69.1   0.00   0.00   0.30   0.50   0.99   0.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       5
