*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 305   121   145      1     52    325     0     0   125  0.546  0.515  0.475  0.362  0.364  0.392  0.409  0.397  0.000  0.000
 1990 306   122   140      1     52    325     0     0   125  0.514  0.510  0.470  0.361  0.363  0.389  0.408  0.397  0.000  0.000
 1990 307   123   138      1     52    325     0     0   125  0.505  0.501  0.466  0.360  0.362  0.387  0.408  0.397  0.000  0.000
 1990 308   124   166      1     52    358     0     0   125  0.555  0.556  0.560  0.412  0.360  0.384  0.407  0.397  0.000  0.000
 1990 309   125   161      1     52    358     0     0   125  0.537  0.542  0.542  0.417  0.360  0.382  0.405  0.397  0.000  0.000
 1990 310   126   158      1     52    358     0     0   125  0.533  0.535  0.535  0.413  0.360  0.381  0.403  0.397  0.000  0.000
 1990 311   127   155      1     52    360     0     0   125  0.550  0.533  0.526  0.406  0.360  0.379  0.400  0.397  0.000  0.000
 1990 312   128   153      1     52    360     0     0   125  0.535  0.534  0.524  0.405  0.361  0.378  0.398  0.397  0.000  0.000
 1990 313   129   150      1     52    360     0     0   125  0.525  0.527  0.519  0.401  0.361  0.377  0.395  0.396  0.000  0.000
 1990 314   130   146      1     52    361     0     0   125  0.525  0.518  0.512  0.395  0.361  0.376  0.391  0.396  0.000  0.000
 1990 315   131   141      1     52    361     0     0   125  0.507  0.512  0.504  0.389  0.360  0.374  0.386  0.396  0.000  0.000
 1990 316   132   138      1     52    361     0     0   125  0.502  0.506  0.500  0.386  0.360  0.373  0.384  0.395  0.000  0.000
 1990 317   133   132      1     52    361     0     0   125  0.486  0.494  0.490  0.380  0.359  0.371  0.377  0.395  0.000  0.000
 1990 318   134   130      1     52    363     0     0   125  0.518  0.486  0.483  0.377  0.358  0.370  0.374  0.394  0.000  0.000
 1990 319   135   128      1     52    363     0     0   125  0.498  0.489  0.479  0.376  0.358  0.370  0.373  0.394  0.000  0.000
 1990 320   136   177      1     52    416     0     0   125  0.553  0.562  0.562  0.467  0.443  0.373  0.371  0.393  0.000  0.000
 1990 321   137   171      1     52    416     0     0   125  0.533  0.547  0.546  0.448  0.430  0.387  0.368  0.392  0.000  0.000
 1990 322   138   165      1     52    416     0     0   125  0.525  0.533  0.537  0.437  0.423  0.387  0.366  0.392  0.000  0.000
 1990 323   139   158      1     52    416     0     0   125  0.514  0.524  0.529  0.428  0.415  0.384  0.364  0.391  0.000  0.000
 1990 324   140   155      1     52    416     0     0   125  0.514  0.519  0.524  0.425  0.412  0.382  0.363  0.390  0.000  0.000
 1990 325   141   150      1     52    417     0     0   125  0.529  0.510  0.515  0.416  0.403  0.379  0.361  0.390  0.000  0.000
 1990 326   142   143      1     52    417     0     0   125  0.501  0.508  0.507  0.408  0.396  0.377  0.360  0.388  0.000  0.000
 1990 327   143   137      1     52    417     0     0   125  0.487  0.499  0.499  0.401  0.388  0.374  0.358  0.386  0.000  0.000
 1990 328   144   131      1     52    417     0     0   125  0.476  0.489  0.491  0.393  0.383  0.372  0.357  0.384  0.000  0.000
 1990 329   145   126      1     52    417     0     0   125  0.468  0.481  0.484  0.388  0.380  0.370  0.356  0.381  0.000  0.000
 1990 330   146   142      1     52    438     0     0   125  0.558  0.559  0.523  0.382  0.376  0.369  0.355  0.379  0.000  0.000
 1990 331   147   136      1     52    438     0     0   125  0.534  0.539  0.522  0.379  0.373  0.366  0.353  0.375  0.000  0.000
 1990 332   148   130      1     52    438     0     0   125  0.520  0.524  0.512  0.377  0.370  0.364  0.352  0.371  0.000  0.000
 1990 333   149   123      1     52    438     0     0   125  0.502  0.510  0.500  0.374  0.366  0.362  0.350  0.366  0.000  0.000
 1990 334   150   120      1     52    438     0     0   125  0.496  0.501  0.494  0.373  0.365  0.361  0.350  0.363  0.000  0.000
 1990 335   151   115      1     52    438     0     0   125  0.482  0.490  0.484  0.371  0.363  0.359  0.348  0.360  0.000  0.000
 1990 336   152   113      1     52    438     0     0   125  0.479  0.485  0.480  0.370  0.362  0.359  0.348  0.359  0.000  0.000
 1990 337   153   117      1     52    448     0     0   125  0.550  0.528  0.469  0.367  0.360  0.357  0.347  0.356  0.000  0.000
