*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 16, 2016; 17:55:43

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0214 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2000 336    34    31    8.0      3   0.52    260     14      0    560    274      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.56   0.00   0.00      0      0    200.5   0.00   0.00   0.35   0.32   4.00   3.15   0.35   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      14
 2000 337    35    32    9.0      3   0.59    302     15      0    650    317      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.51   0.00   0.00      0      0    194.6   0.00   0.00   0.37   0.31   4.00   3.70   0.56   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      17
 2000 338    36    33    9.0      3   0.64    335     16      0    693    351      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.47   0.00   0.00      0      0    190.4   0.00   0.00   0.38   0.31   4.00   3.96   0.69   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      20
 2000 339    37    34    9.0      3   0.69    370     17      0    798    387      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.44   0.00   0.00      0      0    186.5   0.00   0.00   0.39   0.31   4.00   4.00   1.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      23
 2000 340    38    35   10.0      3   0.75    414     20      0    917    434      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.40   0.00   0.00      0      0    182.3   0.00   0.00   0.41   0.31   4.00   4.00   1.42   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      27
 2000 341    39    36   10.0      3   0.87    493     26      0   1024    520      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.34   0.00   0.00      0      0    176.2   0.00   0.00   0.43   0.31   4.00   4.00   1.85   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      32
 2000 342    40    37   11.0      3   1.00    584     38      0   1085    622      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.28   0.00   0.00      0      0    170.4   0.00   0.00   0.45   0.30   4.00   4.00   2.12   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      37
 2000 343    41    38   11.0      3   1.12    674     54      0   1180    728      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.16   0.00   0.00      0      0    165.6   0.00   0.00   0.47   0.30   4.00   4.00   2.54   0.04   0.00   0.00   0.00   0.00   0.00      0      0      0       0      42
 2000 344    42    39   11.0      3   1.15    714     62      0   1293    776      0    0.0  0.000      0      0  0.301  0.534  0.022  0.000   3.14   0.00   0.00      0      0    161.4   0.00   0.00   0.48   0.30   4.00   4.00   3.03   0.12   0.00   0.00   0.00   0.00   0.00      0      0      0       0      48
 2000 345    43    40   12.0      3   1.19    757     73      0   1372    830      0    0.0  0.000      0      0  0.304  0.536  0.022  0.000   3.18   0.00   0.00      0      0    157.4   0.00   0.00   0.50   0.32   4.00   4.00   3.37   0.20   0.00   0.00   0.00   0.00   0.00      0      0      0       0      55
 2000 346    44    41   12.0      3   1.23    808     89      0   1451    897      0    0.0  0.000      0      0  0.397  0.598  0.022  0.000   3.12   0.00   0.00      0      0    152.7   0.00   0.00   0.51   0.32   4.00   4.00   3.75   0.32   0.00   0.00   0.00   0.00   0.00      0      0      0       0      62
 2000 347    45    42   12.0      3   1.26    854    107      0   1518    961      0    0.0  0.000      0      0  0.504  0.670  0.022  0.000   3.07   0.00   0.00      0      0    147.7   0.00   0.00   0.53   0.32   4.00   4.00   4.00   0.46   0.00   0.00   0.00   0.00   0.00      0      0      0       0      69
 2000 348    46    43   13.0      3   1.31    914    135      0   1551   1049      0    0.0  0.000      0      0  0.430  0.621  0.022  0.000   3.08   0.00   0.00      0      0    143.3   0.00   0.00   0.55   0.33   4.00   4.00   4.00   0.54   0.00   0.00   0.00   0.00   0.00      0      0      0       0      76
 2000 349    47    44   13.0      3   1.37    976    169      0   1633   1145      0    0.0  0.000      0      0  0.340  0.561  0.022  0.000   2.92   0.00   0.00      0      0    139.8   0.00   0.00   0.57   0.36   4.00   4.00   4.00   0.78   0.00   0.00   0.00   0.00   0.00      0      0      0       0      84
 2000 350    48    45   14.0      3   1.42   1026    199      0   1715   1225      0    0.0  0.000      0      0  0.073  0.383  0.022  0.000   2.85   0.00   0.00      0      0    138.6   0.00   0.00   0.58   0.40   4.00   4.00   4.00   1.07   0.00   0.00   0.00   0.00   0.00      0      0      0       0      92
 2000 351    49    46   14.0      3   1.49   1087    238      0   1893   1325      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   2.69   0.00   0.00      0      0    137.4   0.00   0.00   0.59   0.48   4.00   4.00   4.00   1.57   0.00   0.00   0.00   0.00   0.00      0      0      0       0     101
 2000 352    50    47   14.0      3   1.61   1187    309      0   2033   1495      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   2.44   0.00   0.00      0      0    135.8   0.00   0.00   0.60   0.55   4.00   4.00   4.00   1.95   0.00   0.00   0.00   0.00   0.00      0      0      0       0     110
