*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 231    47    24     2     0.0  144.6   16623  131.2   13.4  28.9  34.6  20.5  10.8   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.6   0.6  1.61  0.61  0.40  0.00  0.00   23.46   56.55    0.00    0.00    1.24
 1990 232    48    24     2     0.0  144.9   16622  131.6   13.3  29.0  34.5  20.6  10.8   6.4   0.9   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.6   0.6  1.61  0.60  0.39  0.00  0.00   23.92   57.09    0.00    0.00    1.24
 1990 233    49    24     2     0.0  145.0   16622  131.8   13.2  29.0  34.3  20.7  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.61  0.60  0.38  0.00  0.00   24.39   57.65    0.00    0.00    1.24
 1990 234    50    24     2     0.0  145.1   16621  132.0   13.1  29.0  34.1  20.8  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.61  0.59  0.37  0.00  0.00   24.86   58.21    0.00    0.00    1.24
 1990 235    51    24     2     0.0  145.3   16621  132.3   13.0  29.1  34.0  20.9  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.61  0.58  0.36  0.00  0.00   25.32   58.74    0.00    0.00    1.24
 1990 236    52    24     2     0.0  145.3   16620  132.4   13.0  29.2  33.8  20.9  11.0   6.5   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.62  0.58  0.36  0.00  0.00   25.76   59.26    0.00    0.00    1.25
 1990 237    53    24     2     0.0  145.7   16620  132.8   12.9  29.2  33.8  20.9  11.0   6.5   1.0   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.62  0.57  0.35  0.00  0.00   26.18   59.74    0.00    0.00    1.25
 1990 238    54    24     2     0.0  145.9   16619  133.1   12.8  29.2  33.8  21.0  11.0   6.5   1.0   1.5   1.4   0.0   0.0   0.1   0.4   0.8   0.6   0.6  1.62  0.56  0.34  0.00  0.00   26.60   60.23    0.00    0.00    1.25
 1990 239    55    24     2     0.0  145.8   16619  133.0   12.7  10.1  32.9  27.8  11.0   6.5   1.0   1.6   1.4   0.0   0.0   0.1   0.4   0.8   0.6   0.6  1.62  0.56  0.33  0.00  0.00   27.03   60.73    0.00    0.00    1.25
 1990 240    56    24     2     0.0  145.8   16618  132.9   12.9   9.7  31.7  28.3  11.2   6.6   1.0   1.6   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.62  0.55  0.33  0.00  0.00   27.58   61.14    0.00    0.00    1.25
 1990 241    57    24     2     0.0  145.6   16618  132.7   13.0   9.7  31.0  28.5  11.3   6.6   1.0   1.6   1.4   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.62  0.54  0.32  0.00  0.00   28.11   61.58    0.00    0.00    1.25
 1990 242    58    24     2     0.0  146.2   16617  133.2   13.0   9.8  31.0  28.4  11.5   6.6   1.0   1.6   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.54  0.31  0.00  0.00   28.62   62.10    0.00    0.00    1.26
 1990 243    59    24     2     0.0  146.6   16617  133.7   12.9   9.9  31.0  28.4  11.6   6.6   1.1   1.6   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.53  0.31  0.00  0.00   29.12   62.60    0.00    0.00    1.26
 1990 244    60    24     2     0.0  147.0   16616  134.1   12.9  10.1  31.0  28.4  11.7   6.6   1.1   1.6   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.53  0.30  0.00  0.00   29.55   63.05    0.00    0.00    1.26
 1990 245    61    24     2     0.0  147.3   16616  134.4   12.9  10.0  31.1  28.3  11.8   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.52  0.30  0.00  0.00   29.95   63.47    0.00    0.00    1.27
 1990 246    62    24     2     0.0  147.7   16616  134.8   12.9  10.1  31.1  28.3  11.9   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.52  0.29  0.00  0.00   30.35   63.89    0.00    0.00    1.27
 1990 247    63    24     2     0.0  148.1   16615  135.2   12.9  10.3  31.1  28.3  12.0   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.51  0.29  0.00  0.00   30.76   64.31    0.00    0.00    1.27
 1990 248    64    24     2     0.0  148.4   16615  135.6   12.8  10.6  31.0  28.2  12.1   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.51  0.28  0.00  0.00   31.14   64.72    0.00    0.00    1.27
 1990 249    65    24     2     0.0  148.6   16614  135.8   12.8  10.8  30.9  28.2  12.2   6.7   1.2   1.7   1.5   0.0   0.0   0.1   0.5   1.0   0.6   0.6  1.63  0.50  0.28  0.00  0.00   31.55   65.15    0.00    0.00    1.28
 1990 250    66    24     2     0.0  149.0   16614  136.2   12.8  10.4  31.2  28.2  12.3   6.8   1.2   1.7   1.5   0.0   0.0   0.1   0.5   1.0   0.6   0.6  1.64  0.50  0.27  0.00  0.00   31.99   65.59    0.00    0.00    1.28
 1990 251    67    24     2     0.0  149.4   16614  136.5   12.8   5.9  28.1  31.6  12.5   6.8   1.2   1.7   1.5   0.0   0.0   0.2   0.5   1.0   0.6   0.6  1.64  0.50  0.27  0.00  0.00   32.47   66.04    0.00    0.00    1.28
 1990 252    68    24     2     0.0  149.7   16613  136.7   13.0   6.0  27.4  31.2  13.3   6.8   1.2   1.8   1.5   0.0   0.0   0.1   0.5   1.0   0.6   0.6  1.64  0.49  0.26  0.00  0.00   32.93   66.36    0.00    0.00    1.28
 1990 253    69    24     2     0.0  150.1   16613  137.1   13.0   6.4  27.0  31.2  13.5   6.8   1.2   1.8   1.6   0.0   0.0   0.1   0.6   1.0   0.6   0.6  1.64  0.49  0.26  0.00  0.00   33.43   66.80    0.00    0.00    1.29
 1990 254    70    24     2     0.0  149.9   16612  137.0   13.0   4.0  22.0  31.2  16.5   7.2   1.3   1.8   1.6   0.0   0.0   0.1   0.6   1.0   0.6   0.6  1.64  0.48  0.25  0.00  0.00   33.98   67.37    0.00    0.00    1.29
 1990 255    71    24     2     0.0  149.8   16611  136.5   13.3   4.0  21.5  30.4  16.4   8.0   1.3   1.8   1.6   0.0   0.0   0.2   0.7   1.1   0.6   0.6  1.64  0.48  0.25  0.00  0.00   34.55   67.63    0.00    0.00    1.29
 1990 256    72    24     2     0.0  149.6   16611  136.1   13.5   4.3  21.1  29.9  16.3   8.5   1.3   1.8   1.6   0.0   0.0   0.1   0.7   1.2   0.6   0.6  1.64  0.48  0.25  0.00  0.00   35.12   67.98    0.00    0.00    1.30
 1990 257    73    24     2     0.0  149.4   16610  135.9   13.6   4.9  20.7  29.6  16.3   8.6   1.3   1.8   1.6   0.0   0.0   0.1   0.7   1.3   0.7   0.6  1.64  0.47  0.24  0.00  0.00   35.67   68.43    0.00    0.00    1.30
 1990 258    74    24     2     0.0  149.4   16610  135.8   13.5   5.5  20.4  29.4  16.3   8.6   1.3   1.8   1.6   0.0   0.0   0.1   0.7   1.2   0.7   0.6  1.65  0.47  0.24  0.00  0.00   36.18   68.97    0.00    0.00    1.30
 1990 259    75    24     2     0.0  148.8   16609  135.3   13.5   6.0  20.1  29.1  16.3   8.6   1.4   1.9   1.6   0.0   0.0   0.1   0.6   1.2   0.7   0.6  1.65  0.47  0.24  0.00  0.00   36.65   69.45    0.01    0.00    1.31
 1990 260    76    24     2     0.0  148.9   16609  135.4   13.5   6.6  19.9  28.9  16.3   8.7   1.4   1.9   1.6   0.0   0.0   0.1   0.6   1.2   0.7   0.6  1.65  0.46  0.23  0.00  0.00   37.11   69.93    0.01    0.00    1.31
 1990 261    77    24     2     0.0  148.5   16608  135.1   13.4   3.5  15.4  28.0  18.2  10.3   1.7   1.9   1.6   0.0   0.0   0.1   0.6   1.2   0.7   0.6  1.65  0.46  0.23  0.00  0.00   37.58   70.46    0.01    0.00    1.31
 1990 262    78    24     2     0.2  148.1   16608  134.4   13.7   3.4  14.9  27.1  17.8  10.5   2.1   1.9   1.7   0.0   0.0   0.2   0.7   1.3   0.7   0.6  1.65  0.46  0.23  0.00  0.00   38.08   70.64    0.01    0.00    1.31
 1990 263    79    24     2     0.4  147.2   16607  133.2   13.9   3.6  14.5  26.4  17.5  10.5   2.3   1.9   1.7   0.0   0.0   0.1   0.7   1.3   0.7   0.6  1.65  0.46  0.22  0.00  0.00   38.61   70.90    0.01    0.00    1.32
 1990 264    80    24     2     0.5  147.6   16607  133.4   14.2   3.9  14.5  26.3  17.3  10.5   2.4   2.0   1.7   0.0   0.0   0.1   0.7   1.4   0.8   0.6  1.66  0.47  0.22  0.00  0.00   39.13   71.20    0.01    0.00    1.32
 1990 265    81    24     2     0.5  147.8   16606  133.6   14.2   4.3  14.5  26.3  17.2  10.5   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.4   0.8   0.6  1.68  0.47  0.23  0.00  0.00   39.65   71.64    0.01    0.00    1.32
 1990 266    82    24     2     0.5  145.8   16606  131.5   14.3   4.6  13.9  25.5  17.1  10.5   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.3   0.8   0.7  1.69  0.48  0.23  0.00  0.00   40.18   72.08    0.04    0.00    1.33
 1990 267    83    24     2     0.5  145.5   16605  131.2   14.3   4.9  13.8  25.2  17.0  10.5   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.3   0.8   0.7  1.70  0.49  0.23  0.00  0.00   40.69   72.49    0.05    0.00    1.33
 1990 268    84    24     2     0.5  145.5   16605  131.1   14.4   5.2  13.8  25.1  17.0  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.6   1.3   0.8   0.7  1.72  0.49  0.23  0.00  0.00   41.18   72.94    0.05    0.00    1.33
