*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 305   121   118  127.3    0.0  127.3   0.00   2.21  154.2   76.2   51.1    2.2   2.21   1.00    0.00    3.25
 1990 306   122   119  128.7    0.0  128.7   0.00   2.13  155.9   75.1   53.6    2.1   2.13   0.99    0.00    3.39
 1990 307   123   120  130.5    0.0  130.5   0.00   2.09  157.8   74.8   55.7    2.1   2.09   1.00    0.00    3.53
 1990 308   124   121  132.1    0.0  132.1   0.00   2.06  159.7   74.6   57.5    2.1   2.06   0.97    0.00    3.67
 1990 309   125   122  133.5    0.0  133.5   0.00   2.05  161.6   74.7   58.8    2.0   2.05   0.92    0.00    3.81
 1990 310   126   123  135.0    0.0  135.0   0.00   2.02  163.4   74.6   60.4    2.0   2.02   0.91    0.00    3.95
 1990 311   127   124  136.1    0.0  136.1   0.00   1.98  164.9   74.0   62.2    2.0   1.98   0.89    0.00    4.10
 1990 312   128   125  137.1    0.0  137.1   0.00   1.95  166.1   73.7   63.4    2.0   1.95   0.90    0.00    4.25
 1990 313   129   126  138.1    0.0  138.1   0.00   1.91  167.2   73.1   65.0    1.9   1.91   0.90    0.00    4.40
 1990 314   130   127  138.9    0.0  138.9   0.00   1.86  168.3   72.4   66.6    1.9   1.86   0.88    0.00    4.55
 1990 315   131   128  139.7    0.0  139.7   0.00   1.81  169.3   71.5   68.2    1.8   1.81   0.87    0.00    4.70
 1990 316   132   129  140.6    0.0  140.6   0.00   1.77  170.3   71.0   69.6    1.8   1.77   0.87    0.00    4.85
 1990 317   133   130  141.3    0.0  141.3   0.00   1.92  171.2   76.4   65.0    1.9   1.92   0.86    0.00    5.00
 1990 318   134   131  142.1    0.0  142.1   0.00   1.92  172.2   75.5   66.5    1.9   1.92   0.87    0.00    5.15
 1990 319   135   132  142.8    0.0  142.8   0.00   1.93  173.2   75.0   67.7    1.9   1.93   0.88    0.00    5.31
 1990 320   136   133  143.3    0.0  143.3   0.00   1.94  174.0   74.3   69.0    1.9   1.94   0.87    0.00    5.46
 1990 321   137   134  143.7    0.0  143.7   0.00   1.94  174.7   73.5   70.2    1.9   1.94   0.84    0.00    5.62
 1990 322   138   135  144.2    0.0  144.2   0.00   1.94  175.6   72.3   71.8    1.9   1.94   0.83    0.00    5.78
 1990 323   139   136  144.7    0.0  144.7   0.00   1.93  176.6   70.9   73.7    1.9   1.93   0.83    0.00    5.94
 1990 324   140   137  145.0    0.0  145.0   0.00   1.94  177.7   69.9   75.1    1.9   1.94   0.85    0.00    6.10
 1990 325   141   138  145.3    0.0  145.3   0.00   1.94  178.7   68.5   76.8    1.9   1.94   0.84    0.00    6.27
 1990 326   142   139  145.4    0.0  145.4   0.00   1.93  180.0   67.2   78.2    1.9   1.93   0.85    0.00    6.44
 1990 327   143   140  145.2    0.0  145.2   0.00   1.93  181.2   65.7   79.5    1.9   1.93   0.85    0.00    6.61
 1990 328   144   141  144.7    0.0  144.7   0.00   1.92  182.4   63.9   80.8    1.9   1.92   0.87    0.00    6.80
 1990 329   145   142  144.8    4.9  139.9   1.70   1.86  183.5   61.8   78.1    1.9   1.86   0.89    0.00    6.99
 1990 330   146   143  145.1    8.9  136.2   1.70   1.81  184.5   60.2   76.0    1.8   1.81   0.90    0.00    7.18
