*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:58:53

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0007 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 236    52     2     2     0.0  124.2   16620  111.2   13.0  11.5  24.1  20.5  11.0   6.5   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.62  0.58  0.36  0.00  0.00   25.76   38.36    0.00    0.00    0.37
 1990 237    53     2     2     0.0  124.5   16620  111.7   12.9  11.5  24.2  20.6  11.0   6.5   1.0   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.62  0.57  0.35  0.00  0.00   26.18   38.85    0.00    0.00    0.37
 1990 238    54     2     2     0.0  124.8   16619  112.0   12.8  11.6  24.2  20.6  11.0   6.5   1.0   1.5   1.4   0.0   0.0   0.1   0.4   0.8   0.6   0.6  1.62  0.56  0.34  0.00  0.00   26.60   39.34    0.00    0.00    0.37
 1990 239    55     2     2     0.0  124.6   16619  111.9   12.7   4.0  21.2  24.9  11.0   6.5   1.0   1.6   1.4   0.0   0.0   0.1   0.4   0.8   0.6   0.6  1.62  0.56  0.33  0.00  0.00   27.03   39.84    0.00    0.00    0.38
 1990 240    56     2     2     0.0  124.6   16618  111.8   12.9   3.9  20.3  25.2  11.2   6.6   1.0   1.6   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.62  0.55  0.33  0.00  0.00   27.58   40.24    0.00    0.00    0.38
 1990 241    57     2     2     0.0  124.5   16618  111.6   13.0   3.9  19.8  25.1  11.3   6.6   1.0   1.6   1.4   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.62  0.54  0.32  0.00  0.00   28.11   40.69    0.00    0.00    0.38
 1990 242    58     2     2     0.0  125.0   16617  112.1   12.9   4.0  19.9  25.1  11.4   6.6   1.0   1.6   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.54  0.31  0.00  0.00   28.62   41.20    0.00    0.00    0.38
 1990 243    59     2     2     0.0  125.5   16617  112.6   12.9   4.1  19.9  25.1  11.5   6.6   1.1   1.6   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.53  0.31  0.00  0.00   29.12   41.70    0.00    0.00    0.39
 1990 244    60     2     2     0.0  125.9   16616  113.0   12.9   4.3  19.9  25.1  11.6   6.6   1.1   1.6   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.53  0.30  0.00  0.00   29.55   42.15    0.00    0.00    0.39
 1990 245    61     2     2     0.0  126.2   16616  113.3   12.9   4.2  20.0  25.0  11.8   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.52  0.30  0.00  0.00   29.95   42.57    0.00    0.00    0.39
 1990 246    62     2     2     0.0  126.5   16616  113.7   12.9   4.3  20.0  25.0  11.8   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.52  0.29  0.00  0.00   30.35   42.99    0.00    0.00    0.39
 1990 247    63     2     2     0.0  126.9   16615  114.1   12.9   4.5  20.0  25.0  11.9   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.51  0.29  0.00  0.00   30.76   43.41    0.00    0.00    0.40
 1990 248    64     2     2     0.0  127.3   16615  114.4   12.8   4.7  20.0  25.0  12.0   6.7   1.1   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.51  0.28  0.00  0.00   31.14   43.82    0.00    0.00    0.40
 1990 249    65     2     2     0.0  127.5   16614  114.7   12.8   4.9  20.0  24.9  12.1   6.7   1.2   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.6   0.6  1.63  0.50  0.28  0.00  0.00   31.55   44.25    0.00    0.00    0.40
 1990 250    66     2     2     0.0  127.9   16614  115.0   12.8   4.7  20.1  24.9  12.2   6.8   1.2   1.7   1.5   0.0   0.0   0.1   0.5   1.0   0.6   0.6  1.64  0.50  0.27  0.00  0.00   31.99   44.69    0.00    0.00    0.40
 1990 251    67     2     2     0.0  128.2   16614  115.4   12.8   2.7  17.7  27.1  12.3   6.8   1.2   1.7   1.5   0.0   0.0   0.2   0.5   1.0   0.6   0.6  1.64  0.50  0.27  0.00  0.00   32.47   45.14    0.00    0.00    0.41
