*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:48:23

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0359 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1999 295    63    0.0   13.0   14.0   20.5   41.0   0.30   23.0   12.7   17.8   19.6   12.7   17.8   19.6   86.4    330
 1999 296    64    0.0   13.0   14.0   16.9   33.8   0.43   23.2   12.2   17.6   19.6   12.2   17.6   19.6   86.4    330
 1999 297    65    0.0   13.1   14.0   15.2   30.4   0.49   23.3   12.6   17.9   19.8   12.6   17.9   19.8   86.4    330
 1999 298    66    0.0   13.1   14.0   15.9   31.8   0.46   22.7   15.5   19.1   20.3   15.5   19.1   20.3   86.4    330
 1999 299    67    0.0   13.1   14.1   26.4   52.8   0.11   24.8   13.5   19.1   21.1   13.5   19.1   21.1   86.4    330
 1999 300    68    0.0   13.2   14.1   25.1   50.2   0.16   26.3   15.2   20.7   22.7   15.2   20.7   22.7   86.4    330
 1999 301    69    0.0   13.2   14.1   20.9   41.8   0.30   29.6   15.5   22.5   25.0   15.5   22.5   25.0   86.4    330
 1999 302    70    0.0   13.2   14.2   25.8   51.6   0.14   27.2   18.2   22.7   24.3   18.2   22.7   24.3   86.4    330
 1999 303    71    0.0   13.2   14.2   14.7   29.4   0.51   24.0   17.4   20.7   21.9   17.4   20.7   21.9   86.4    330
 1999 304    72    0.0   13.3   14.2   21.1   42.2   0.30   25.9   16.8   21.3   22.9   16.8   21.3   22.9   86.4    330
 1999 305    73    0.0   13.3   14.3   10.6   21.2   0.65   24.6   15.6   20.1   21.7   15.6   20.1   21.7   86.4    330
 1999 306    74    0.0   13.3   14.3   25.3   50.6   0.17   25.7   15.5   20.6   22.4   15.5   20.6   22.4   86.4    330
 1999 307    75    0.0   13.4   14.3   24.2   48.4   0.21   24.0   14.0   19.0   20.8   14.0   19.0   20.8   86.4    330
 1999 308    76    0.0   13.4   14.4    8.3   16.6   0.73   17.0   12.0   14.5   15.4   12.0   14.5   15.4   86.4    330
 1999 309    77    0.0   13.4   14.4   28.8   57.6   0.07   22.6   10.3   16.4   18.7   10.3   16.4   18.7   86.4    330
 1999 310    78    0.0   13.4   14.4   29.1   58.2   0.06   27.8    9.9   18.8   22.1    9.9   18.8   22.1   86.4    330
 1999 311    79    1.0   13.5   14.4   15.4   30.8   0.50   20.7   13.6   17.1   18.4   13.6   17.1   18.4   86.4    330
 1999 312    80    0.0   13.5   14.5   25.0   50.0   0.20   19.0    8.5   13.8   15.6    8.5   13.8   15.6   86.4    330
 1999 313    81    0.0   13.5   14.5   27.5   55.0   0.12   17.5    6.5   12.0   14.0    6.5   12.0   14.0   86.4    330
 1999 314    82    0.0   13.5   14.5   29.2   58.4   0.07   20.7    2.7   11.7   15.0    2.7   11.7   15.0   86.4    330
 1999 315    83    0.0   13.6   14.5   29.3   58.6   0.07   25.4    8.5   17.0   20.0    8.5   17.0   20.0   86.4    330
 1999 316    84    0.0   13.6   14.6   28.5   57.0   0.09   28.3   10.0   19.2   22.5   10.0   19.2   22.5   86.4    330
 1999 317    85    0.0   13.6   14.6   27.4   54.8   0.13   27.1   14.7   20.9   23.2   14.7   20.9   23.2   86.4    330
 1999 318    86    0.0   13.6   14.6   24.7   49.4   0.22   27.0   12.9   20.0   22.5   12.9   20.0   22.5   86.4    330
 1999 319    87    0.0   13.6   14.7   30.3   60.6   0.04   29.0   14.1   21.6   24.3   14.1   21.6   24.3   86.4    330
 1999 320    88    0.0   13.7   14.7   30.3   60.6   0.04   29.0   12.8   20.9   23.9   12.8   20.9   23.9   86.4    330
 1999 321    89    0.0   13.7   14.7   26.2   52.4   0.18   28.6   12.7   20.7   23.6   12.7   20.7   23.6   86.4    330
 1999 322    90    0.0   13.7   14.7   25.5   51.0   0.20   28.3   13.9   21.1   23.8   13.9   21.1   23.8   86.4    330
 1999 323    91    0.0   13.7   14.7   23.1   46.2   0.28   28.8   14.6   21.8   24.4   14.6   21.8   24.4   86.4    330
 1999 324    92    0.0   13.8   14.8   22.6   45.2   0.29   27.1   15.5   21.3   23.5   15.5   21.3   23.5   86.4    330
 1999 325    93    0.0   13.8   14.8   29.4   58.8   0.08   27.2   14.0   20.7   23.1   14.0   20.7   23.1   86.4    330
 1999 326    94    0.0   13.8   14.8   30.6   61.2   0.05   25.7   12.2   19.0   21.5   12.2   19.0   21.5   86.4    330
 1999 327    95    1.0   13.8   14.8   15.5   31.0   0.52   25.0   12.9   19.0   21.2   12.9   19.0   21.2   86.4    330
 1999 328    96    0.0   13.8   14.9   24.1   48.2   0.25   26.9   14.3   20.7   23.0   14.3   20.7   23.0   86.4    330
 1999 329    97   19.2   13.8   14.9   23.2   46.4   0.28   29.0   11.5   20.3   23.6   11.5   20.3   23.6   86.4    330
 1999 330    98    2.0   13.9   14.9   10.5   21.0   0.68   23.0   15.3   19.2   20.6   15.3   19.2   20.6   86.4    330
 1999 331    99    0.0   13.9   14.9   24.4   48.8   0.25   27.2   14.7   21.0   23.3   14.7   21.0   23.3   86.4    330
 1999 332   100    0.0   13.9   14.9   31.3   62.6   0.03   30.4   13.3   22.0   25.1   13.3   22.0   25.1   86.4    330
 1999 333   101    0.0   13.9   15.0   29.4   58.8   0.09   32.1   14.1   23.2   26.5   14.1   23.2   26.5   86.4    330
 1999 334   102    0.0   13.9   15.0   31.8   63.6   0.02   33.9   17.5   25.8   28.8   17.5   25.8   28.8   86.4    330
 1999 335   103    0.0   13.9   15.0   18.0   36.0   0.45   32.0   17.7   24.9   27.6   17.7   24.9   27.6   86.4    330
 1999 336   104   13.6   13.9   15.0    9.0   18.0   0.72   22.7   14.3   18.6   20.1   14.3   18.6   20.1   86.4    330
 1999 337   105    4.5   14.0   15.0   20.4   40.8   0.37   24.8   13.8   19.4   21.4   13.8   19.4   21.4   86.4    330
 1999 338   106    0.0   14.0   15.0   31.1   62.2   0.05   30.5   15.6   23.2   25.9   15.6   23.2   25.9   86.4    330
