*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 331    93  31.20  27.90  12.40  7.052  7.052  4.481  2.572  0.000  253.0   70.7  182.3    0.0
 2000 332    94  12.60  27.60  14.50  2.880  2.880  1.547  1.333  0.000  255.8   72.2  183.6    0.0
 2000 333    95   8.90  21.20  17.30  1.923  1.923  1.054  0.869  0.000  257.8   73.3  184.5    0.0
 2000 334    96  15.00  21.00  12.30  3.097  3.097  2.057  1.040  0.000  260.9   75.3  185.6    0.0
 2000 335    97  30.70  22.50  10.30  6.348  5.445  4.551  0.893  0.000  266.3   79.9  186.4    0.0
 2000 336    98  26.30  23.80   8.80  5.455  5.455  3.070  2.384  0.000  271.8   82.9  188.8    0.0
 2000 337    99  30.90  27.20  11.70  6.841  6.841  3.887  2.954  0.000  278.6   86.8  191.8    0.0
 2000 338   100  20.00  27.60  12.40  4.470  4.470  2.563  1.907  0.000  283.1   89.4  193.7    0.0
 2000 339   101  12.90  21.80  14.40  2.728  2.728  1.578  1.150  0.000  285.8   91.0  194.8    0.0
 2000 340   102  28.90  23.10  11.90  6.080  6.080  3.539  2.541  0.000  291.9   94.5  197.4    0.0
 2000 341   103  27.70  30.30  11.50  6.335  6.335  4.591  1.744  0.000  298.2   99.1  199.1    0.0
 2000 342   104  26.00  31.20  16.20  6.223  6.223  3.817  2.406  0.000  304.4  102.9  201.5    0.0
 2000 343   105  19.80  32.30  17.90  4.854  4.854  3.474  1.380  0.000  309.3  106.4  202.9    0.0
 2000 344   106  31.40  31.80  19.50  7.742  6.897  5.817  1.080  0.000  316.2  112.2  204.0    0.0
 2000 345   107  24.60  29.30  16.50  5.771  5.263  4.344  0.919  0.000  321.4  116.5  204.9    0.0
 2000 346   108  17.60  29.90  19.10  4.237  4.237  2.506  1.731  0.000  325.7  119.0  206.6    0.0
 2000 347   109  23.40  32.50  16.00  5.666  5.666  3.359  2.306  0.000  331.4  122.4  208.9    0.0
 2000 348   110  28.50  33.60  20.50  7.209  7.209  4.279  2.930  0.000  338.6  126.7  211.9    0.0
 2000 349   111  22.70  29.60  20.30  5.493  5.493  3.262  2.231  0.000  344.1  129.9  214.1    0.0
 2000 350   112  22.20  29.40  15.50  5.173  5.173  3.072  2.100  0.000  349.2  133.0  216.2    0.0
 2000 351   113  32.20  21.10   9.80  6.472  6.472  3.841  2.631  0.000  355.7  136.9  218.8    0.0
 2000 352   114  31.50  25.00  10.20  6.680  6.680  4.539  2.141  0.000  362.4  141.4  221.0    0.0
 2000 353   115  32.20  29.20  13.20  7.358  7.358  4.623  2.735  0.000  369.7  146.0  223.7    0.0
 2000 354   116  26.60  26.60  11.10  5.797  5.780  4.361  1.419  0.000  375.5  150.4  225.1    0.0
 2000 355   117  29.70  29.00  12.60  6.742  6.742  4.262  2.480  0.000  382.3  154.6  227.6    0.0
 2000 356   118   9.70  21.00  15.50  2.047  2.047  1.203  0.844  0.000  384.3  155.8  228.5    0.0
 2000 357   119  29.30  29.60  15.70  6.862  6.862  4.395  2.466  0.000  391.2  160.2  230.9    0.0
