*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2000 319    81    78    34.9     0.0    34.9    0.00    4.18      0.8    41.3    24.1    10.7    5.73    2.60     0.0    1.5    0.0    0.09    0.35
 2000 320    82    79    36.7     0.0    36.7    0.00    4.18      0.8    43.6    25.3    11.4    5.73    2.60     0.0    1.5    0.0    0.12    0.36
 2000 321    83    80    39.8     0.0    39.8    0.00    4.16      0.9    47.4    27.3    12.4    5.74    2.60     0.0    1.5    0.0    0.14    0.38
 2000 322    84    81    43.6     0.0    43.6    0.00    4.15      0.9    52.1    29.8    13.8    5.75    2.59     0.0    1.5    0.0    0.18    0.40
 2000 323    85    82    47.9     0.0    47.9    0.00    4.13      1.0    57.4    32.6    15.3    5.76    2.59     0.0    1.5    0.0    0.24    0.44
 2000 324    86    83    52.2     0.0    52.2    0.00    4.12      1.1    62.7    35.3    16.9    5.77    2.58     0.0    1.5    0.0    0.30    0.48
 2000 325    87    84    56.1     0.0    56.1    0.00    4.11      1.1    67.4    37.7    18.3    5.79    2.58     0.0    1.5    0.0    0.37    0.58
 2000 326    88    85    60.6     0.0    60.6    0.00    4.10      1.1    73.0    40.6    20.0    5.80    2.58     4.0    1.5    0.0    0.44    0.69
 2000 327    89    86    65.0     0.0    64.9    0.00    4.10      1.1    78.5    43.2    21.6    5.82    2.58     4.0    1.5    0.0    0.53    0.81
 2000 328    90    87    69.5     0.0    69.2    0.00    4.10      1.1    84.0    45.9    23.3    5.84    2.58     4.0    1.5    0.0    0.64    0.94
 2000 329    91    88    72.7     0.0    72.2    0.00    4.10      1.1    87.7    47.7    24.5    5.87    2.59     4.0    1.5    0.0    0.73    1.03
 2000 330    92    89    77.2     0.0    76.3    0.00    4.09      1.1    93.2    50.2    26.1    5.88    2.58     4.0    1.5    0.0    0.82    1.13
 2000 331    93    90    82.1     0.0    80.8    0.00    4.05      1.1    98.8    52.9    27.9    5.86    2.55     4.0    1.5    0.0    0.98    1.23
 2000 332    94    91    85.6     0.0    83.8    0.00    4.06      1.1   103.2    54.7    29.1    5.88    2.57     4.0    1.5    0.0    0.98    1.35
 2000 333    95    92    88.1     0.0    85.7    0.00    4.08      1.1   106.1    55.8    29.9    5.91    2.58     4.0    1.5    0.0    1.10    1.45
 2000 334    96    93    91.2     0.0    88.0    0.00    4.07      1.1   109.5    57.2    30.8    5.92    2.58     4.0    1.5    0.0    1.21    1.54
 2000 335    97    94    94.6     0.0    90.7    0.00    3.97      1.6   113.0    58.7    32.0    5.83    2.51     4.0    1.5    0.5    1.31    1.59
 2000 336    98    95    97.6     0.0    92.9    0.00    3.87      2.3   115.8    60.1    32.8    5.74    2.43     4.0    1.5    0.5    1.36    1.64
 2000 337    99    96   100.5     0.0    94.9    0.00    3.73      3.0   118.6    61.4    33.5    5.61    2.31     3.9    1.5    0.6    1.43    1.71
 2000 338   100    97   102.8     0.0    96.3    0.00    3.62      3.8   120.6    62.2    34.1    5.51    2.23     3.9    1.4    0.7    1.51    1.78
 2000 339   101    98   105.0     0.0    97.4    0.00    3.59      4.7   122.2    62.8    34.6    5.48    2.21     3.9    1.4    0.8    1.57    1.85
 2000 340   102    99   106.8     0.0    98.1    0.00    3.46      5.8   123.6    63.2    34.9    5.38    2.10     3.9    1.4    0.9    1.63    1.91
 2000 341   103   100   108.6     0.0    98.7    0.00    3.33      7.1   124.9    63.6    35.1    5.26    2.00     3.8    1.4    1.1    1.70    1.99
 2000 342   104   101   111.0     0.0    99.7    0.00    3.24      8.6   126.4    64.2    35.5    5.18    1.93     3.8    1.3    1.3    1.79    2.09
 2000 343   105   102   112.6     0.0    99.9    0.00    3.15     10.3   126.9    64.2    35.6    5.10    1.87     3.8    1.3    1.5    1.88    2.20
 2000 344   106   103   114.8     0.0   100.3    0.00    3.06     12.3   127.9    64.5    35.9    5.01    1.80     3.7    1.3    1.7    1.97    2.31
 2000 345   107   104   117.1     0.0   100.5    0.00    2.98     14.7   128.5    64.5    36.0    4.94    1.74     3.7    1.3    2.0    2.05    2.42
 2000 346   108   105   120.0     0.0   101.3    0.00    2.95     16.2   130.1    64.8    36.4    4.91    1.73     3.7    1.3    1.6    2.14    2.53
 2000 347   109   106   122.6     0.0   101.8    0.00    2.90     19.0   130.8    65.1    36.7    4.85    1.69     3.7    1.3    2.3    2.53    2.64
 2000 348   110   107   125.0     0.0   102.3    6.65    2.84     22.2   131.2    65.3    37.0    4.79    1.66     3.6    1.3    2.7    3.00    2.76
 2000 349   111   108   127.7     0.1   103.3    6.51    2.82     24.5   132.8    65.6    37.6    4.77    1.65     3.6    1.3    2.3    3.99    2.88
 2000 350   112   109   130.7     0.3   104.2    6.35    2.81     27.8   133.8    66.0    38.2    4.75    1.65     3.6    1.3    3.2    4.93    2.98
 2000 351   113   110   133.9     0.5   105.4    6.38    2.79     30.4   135.4    66.5    38.9    4.74    1.64     3.6    1.3    2.6    5.63    3.04
 2000 352   114   111   138.0     0.8   106.8    6.33    2.78     34.0   136.7    67.1    39.8    4.72    1.64     3.6    1.3    3.3    6.04    3.12
 2000 353   115   112   141.4     1.2   107.7    6.29    2.74     38.1   137.5    67.4    40.4    4.67    1.62     3.6    1.2    3.6    6.74    3.21
 2000 354   116   113   145.6     1.6   108.8    6.26    2.72     42.8   137.8    67.7    41.1    4.65    1.62     3.6    1.2    4.1    6.83    3.30
 2000 355   117   114   149.3     2.0   110.3    6.24    2.71     46.8   139.0    68.3    42.0    4.64    1.62     3.6    1.2    4.0    8.00    3.40
 2000 356   118   115   149.2     2.6   108.8    6.24    2.69     48.2   139.2    67.4    41.4    4.62    1.60     3.6    1.2    1.4    9.90    3.48
 2000 357   119   116   153.7     3.4   109.7    6.24    2.69     53.5   139.9    67.7    42.1    4.61    1.61     3.6    1.2    4.6   10.41    3.59
 2000 358   120   117   155.9     4.3   108.2    6.24    2.67     55.6   140.1    66.8    41.4    4.59    1.60     3.6    1.2    2.1   10.69    3.66
 2000 359   121   118   159.2     5.1   108.3    6.23    2.66     60.1   141.8    66.6    41.7    4.57    1.59     3.5    1.2    4.5   11.40    3.75
 2000 360   122   119   162.8     6.1   108.6    6.27    2.65     64.2   142.5    66.5    42.0    4.56    1.59     3.5    1.2    4.0   12.42    3.87
 2000 361   123   120   164.7     7.2   108.3    6.34    2.63     69.2   142.8    66.2    42.1    4.53    1.58     3.5    1.2    5.0   14.41    4.00
 2000 362   124   121   165.4     8.6   106.5    6.33    2.61     70.4   143.2    65.1    41.4    4.51    1.57     3.5    1.2    1.2   15.39    4.11
 2000 363   125   122   167.2    10.1   104.7    6.31    2.59     74.1   143.8    64.0    40.6    4.48    1.56     3.5    1.2    3.7   16.81    4.21
 2000 364   126   123   170.4    11.8   103.0    6.29    2.57     76.6   145.0    63.0    39.9    4.46    1.54     3.5    1.2    2.5   16.91    4.30
 2000 365   127   124   172.9    13.5   102.5    6.27    2.55     81.9   145.9    62.6    39.9    4.43    1.53     3.5    1.2    5.3   18.79    4.39
 2000 366   128   125   174.8    15.5   101.9    6.27    2.54     86.6   146.9    62.1    39.8    4.41    1.53     3.5    1.2    4.7   21.36    4.49
 2001 001   129   126   177.9    17.9   101.0    6.28    2.52     92.0   147.5    61.5    39.5    4.38    1.51     3.4    1.2    5.3   22.87    4.60
 2001 002   130   127   180.2    20.5    99.9    6.28    2.50     97.0   148.4    60.7    39.2    4.35    1.50     3.4    1.2    5.0   25.06    4.70
 2001 003   131   128   183.2    23.3    98.7    6.29    2.48    102.1   149.0    59.9    38.8    4.32    1.49     3.4    1.2    5.1   26.55    4.81
 2001 004   132   129   185.0    26.4    96.6    6.34    2.45    104.6   150.4    58.7    37.9    4.29    1.48     3.4    1.2    2.4   28.08    4.93
 2001 005   133   130   187.2    29.8    94.9    6.37    2.43    109.5   151.2    57.7    37.3    4.26    1.46     3.4    1.2    5.0   30.11    5.05
 2001 006   134   131   188.5    33.4    93.1    6.40    2.41    114.4   151.6    56.6    36.6    4.22    1.45     3.3    1.2    4.9   32.85    5.17
 2001 007   135   132   189.7    37.7    91.0    6.40    2.38    115.7   152.6    55.3    35.7    4.19    1.43     3.3    1.2    1.3   33.87    5.29
 2001 008   136   133   191.3    42.1    88.9    6.39    2.35    119.8   153.2    54.1    34.9    4.15    1.41     3.2    1.2    4.1   35.72    5.39
 2001 009   137   134   194.4    46.8    86.8    6.39    2.32    123.7   154.5    52.8    34.0    4.11    1.39     3.2    1.1    3.9   36.98    5.49
 2001 010   138   135   195.5    51.8    84.9    6.37    2.30    124.7   155.3    51.7    33.2    4.07    1.37     3.1    1.1    0.9   37.65    5.59
 2001 011   139   136   198.6    56.6    82.9    6.36    2.27    129.9   155.9    50.5    32.4    4.02    1.35     3.1    1.1    5.2   38.84    5.65
 2001 012   140   137   202.3    61.4    81.2    6.35    2.24    134.5   156.6    49.4    31.8    3.98    1.33     3.1    1.1    4.6   39.52    5.71
 2001 013   141   138   205.7    66.8    79.1    6.34    2.21    138.6   157.3    48.2    30.9    3.93    1.31     3.0    1.1    4.1   40.34    5.79
