*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 269    31     0     0     2.7  109.9   16630   89.8   20.1   1.5   4.4  11.3  10.8   9.9   4.2   2.2   1.3   0.0   0.0   0.1   0.8   2.0   1.2   1.1  1.75  1.03  0.78  0.00  0.00   16.53   20.33    2.43    0.00    0.00
 2000 270    32     0     0     2.7  110.3   16629   90.3   20.0   1.7   4.5  11.4  10.9   9.9   4.2   2.2   1.4   0.0   0.0   0.1   0.7   2.0   1.2   1.1  1.76  1.03  0.78  0.00  0.00   17.02   20.89    2.46    0.00    0.00
 2000 271    33     0     0     2.7  110.7   16629   90.8   20.0   1.9   4.6  11.5  10.9   9.9   4.2   2.3   1.4   0.0   0.0   0.1   0.7   1.9   1.2   1.2  1.78  1.03  0.77  0.00  0.00   17.50   21.42    2.47    0.00    0.00
 2000 272    34     0     0     2.7  111.2   16628   91.3   19.9   2.0   4.7  11.6  10.9   9.9   4.2   2.3   1.4   0.0   0.0   0.1   0.7   1.8   1.2   1.2  1.79  1.03  0.77  0.00  0.00   18.00   21.97    2.49    0.00    0.00
 2000 273    35     0     0     2.7  111.6   16628   91.8   19.8   2.2   4.8  11.7  11.0   9.9   4.2   2.3   1.4   0.0   0.0   0.1   0.6   1.8   1.2   1.2  1.80  1.03  0.76  0.00  0.00   18.52   22.62    2.50    0.00    0.00
 2000 274    36     0     0     2.7  112.1   16627   92.5   19.6   1.7   4.9  12.0  11.1   9.9   4.2   2.3   1.4   0.0   0.0   0.1   0.6   1.7   1.1   1.2  1.82  1.03  0.76  0.00  0.00   19.11   23.34    2.51    0.00    0.00
 2000 275    37     0     0     2.8  112.7   16626   92.8   19.9   1.9   4.9  12.0  11.1  10.0   4.3   2.3   1.4   0.0   0.0   0.1   0.7   1.8   1.1   1.2  1.83  1.03  0.75  0.00  0.00   19.76   23.76    2.53    0.00    0.00
 2000 276    38     0     0     2.8  113.2   16626   93.2   20.0   1.1   3.9  10.6  11.0  10.7   4.9   2.5   1.5   0.0   0.0   0.1   0.6   1.9   1.1   1.2  1.84  1.03  0.75  0.00  0.00   20.45   24.29    2.54    0.00    0.00
 2000 277    39     0     0     2.9  113.6   16625   93.1   20.5   0.8   3.5  10.0  10.6  10.6   5.2   2.8   1.6   0.0   0.0   0.2   0.7   1.9   1.1   1.2  1.86  1.04  0.74  0.00  0.00   21.11   24.48    2.70    0.00    0.00
 2000 278    40     0     0     3.7  113.2   16624   92.4   20.8   1.1   3.5   9.8  10.2  10.2   5.3   3.0   1.7   0.0   0.0   0.1   0.8   2.0   1.2   1.2  1.88  1.04  0.74  0.00  0.00   21.73   24.76    2.88    0.00    0.00
 2000 279    41     0     0     4.1  113.0   16624   91.9   21.1   1.2   3.5   9.6  10.0  10.0   5.3   3.1   1.8   0.0   0.0   0.1   0.9   2.1   1.2   1.3  1.89  1.05  0.73  0.00  0.00   22.33   25.03    3.08    0.00    0.00
 2000 280    42     0     0     4.4  113.1   16623   91.9   21.2   1.4   3.6   9.6   9.9   9.9   5.3   3.1   1.9   0.0   0.0   0.1   0.8   2.1   1.2   1.3  1.91  1.05  0.73  0.00  0.00   22.91   25.48    3.21    0.00    0.00
