*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 2000 271    33    30    1.0      0   0.01      6      2      0     11      8      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  211.4   0.05   0.05    0.8   1.17   0.07   0.07   0.06   0.02   0.01   0.01   0.00   0.00   0.00   0.00       0       1
 2000 272    34    31    1.1      0   0.02      7      3      0     11     10      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  213.1   0.06   0.05    0.8   1.25   0.07   0.07   0.06   0.02   0.01   0.01   0.00   0.00   0.00   0.00       0       1
 2000 273    35    32    1.3      0   0.02      8      3      0     12     11      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  218.8   0.06   0.06    0.8   1.25   0.08   0.08   0.07   0.02   0.02   0.01   0.01   0.00   0.00   0.00       0       1
 2000 274    36    33    1.5      0   0.02      9      3      0     13     12      0     0.0  0.000      0      0  0.000  0.000  0.000  0.011    5.72   0.00   0.00      0      0  226.1   0.07   0.07    0.9   1.25   0.08   0.08   0.07   0.02   0.02   0.01   0.01   0.00   0.00   0.00       0       1
 2000 275    37    34    1.7      0   0.02     10      4      0     15     13      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  234.0   0.08   0.07    0.9   1.25   0.09   0.09   0.08   0.02   0.02   0.01   0.01   0.00   0.00   0.00       0       1
 2000 276    38    35    1.9      0   0.02     10      4      0     15     14      0     0.0  0.000      0      0  0.000  0.000  0.000  0.010    5.72   0.00   0.00      0      0  243.1   0.08   0.08    0.9   1.25   0.09   0.09   0.08   0.02   0.02   0.01   0.01   0.00   0.00   0.00       0       1
 2000 277    39    36    2.0      0   0.03     11      4      0     16     15      0     0.0  0.000      0      0  0.000  0.000  0.000  0.082    5.72   0.00   0.00      0      0  248.1   0.09   0.09    1.0   1.25   0.09   0.09   0.08   0.03   0.02   0.02   0.01   0.00   0.00   0.00       0       1
 2000 278    40    37    2.1      0   0.03     12      4      0     17     17      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  241.0   0.09   0.09    1.0   1.25   0.10   0.09   0.08   0.03   0.02   0.02   0.01   0.00   0.00   0.00       0       1
 2000 279    41    38    2.2      0   0.03     14      5      0     18     18      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  230.8   0.10   0.09    1.0   1.25   0.10   0.10   0.09   0.03   0.02   0.02   0.01   0.00   0.00   0.00       0       1
 2000 280    42    39    2.3      0   0.03     15      5      0     19     20      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  222.8   0.10   0.10    1.1   1.25   0.11   0.10   0.09   0.03   0.03   0.02   0.01   0.00   0.00   0.00       0       1
