*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2000 314    76    0.0   13.5   14.5    8.8   17.6   0.72   20.7   16.4   18.6   19.3   16.4   18.6   19.3   86.4    330
 2000 315    77    0.0   13.6   14.5   24.8   49.6   0.21   23.4   13.8   18.6   20.4   13.8   18.6   20.4   86.4    330
 2000 316    78   23.0   13.6   14.6   22.7   45.4   0.28   25.6   14.3   20.0   22.0   14.3   20.0   22.0   86.4    330
 2000 317    79    0.0   13.6   14.6   22.2   44.4   0.30   25.8   17.1   21.5   23.0   17.1   21.5   23.0   86.4    330
 2000 318    80    0.0   13.6   14.6   20.2   40.4   0.36   21.6   12.4   17.0   18.7   12.4   17.0   18.7   86.4    330
 2000 319    81    0.0   13.6   14.7   24.9   49.8   0.21   16.0    7.9   12.0   13.4    7.9   12.0   13.4   86.4    330
 2000 320    82    0.0   13.7   14.7   22.8   45.6   0.28   16.6    5.0   10.8   12.9    5.0   10.8   12.9   86.4    330
 2000 321    83    0.0   13.7   14.7   30.4   60.8   0.04   22.5    6.3   14.5   17.4    6.3   14.5   17.4   86.4    330
 2000 322    84    0.0   13.7   14.7   30.3   60.6   0.05   25.8    9.1   17.5   20.6    9.1   17.5   20.6   86.4    330
 2000 323    85    0.0   13.7   14.7   30.3   60.6   0.05   27.9   10.0   19.0   22.3   10.0   19.0   22.3   86.4    330
 2000 324    86    3.0   13.8   14.8   28.8   57.6   0.10   29.5   12.7   21.2   24.2   12.7   21.2   24.2   86.4    330
 2000 325    87    0.0   13.8   14.8   32.0   64.0   0.00   21.3   10.6   16.0   18.0   10.6   16.0   18.0   86.4    330
 2000 326    88    0.0   13.8   14.8   30.9   61.8   0.04   26.4    8.9   17.7   20.9    8.9   17.7   20.9   86.4    330
 2000 327    89    0.0   13.8   14.8   23.9   47.8   0.26   28.2   14.8   21.6   24.0   14.8   21.6   24.0   86.4    330
 2000 328    90   23.0   13.8   14.9   25.6   51.2   0.21   32.3   16.4   24.4   27.4   16.4   24.4   27.4   86.4    330
 2000 329    91    0.0   13.8   14.9   16.6   33.2   0.49   20.5   13.0   16.8   18.2   13.0   16.8   18.2   86.4    330
 2000 330    92    0.0   13.9   14.9   29.8   59.6   0.08   23.4    8.7   16.1   18.8    8.7   16.1   18.8   86.4    330
 2000 331    93    0.0   13.9   14.9   31.2   62.4   0.04   27.9   12.4   20.2   23.1   12.4   20.2   23.1   86.4    330
 2000 332    94    0.0   13.9   14.9   12.6   25.2   0.61   27.6   14.5   21.1   23.5   14.5   21.1   23.5   86.4    330
 2000 333    95    0.5   13.9   15.0    8.9   17.8   0.73   21.2   17.3   19.3   20.0   17.3   19.3   20.0   86.4    330
 2000 334    96    0.0   13.9   15.0   15.0   30.0   0.54   21.0   12.3   16.7   18.3   12.3   16.7   18.3   86.4    330
 2000 335    97    0.0   13.9   15.0   30.7   61.4   0.06   22.5   10.3   16.5   18.7   10.3   16.5   18.7   86.4    330
 2000 336    98    0.0   13.9   15.0   26.3   52.6   0.19   23.8    8.8   16.4   19.2    8.8   16.4   19.2   86.4    330
 2000 337    99    0.0   14.0   15.0   30.9   61.8   0.05   27.2   11.7   19.6   22.4   11.7   19.6   22.4   86.4    330
 2000 338   100   14.0   14.0   15.0   20.0   40.0   0.39   27.6   12.4   20.1   22.9   12.4   20.1   22.9   86.4    330
 2000 339   101    0.0   14.0   15.0   12.9   25.8   0.61   21.8   14.4   18.2   19.5   14.4   18.2   19.5   86.4    330
