*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1999 291    59    56    148    2.80    0.01    1.76    0.56    0.19    0.00    3.5    7.3   24.3   19.7    0.00    0.00    0.00
 1999 292    60    57    166    2.93    0.01    1.85    0.59    0.18    0.00    3.5    7.4   24.4   18.3    0.00    0.00    0.00
 1999 293    61    58    186    3.23    0.01    2.03    0.64    0.23    0.00    3.5    7.4   25.1   20.0    0.00    0.00    0.00
 1999 294    62    59    205    3.19    0.01    1.92    0.69    0.25    0.00    3.5    7.3   26.1   20.6    0.00    0.00    0.00
 1999 295    63    60    223    3.07    0.01    1.88    0.68    0.19    0.00    3.5    7.3   21.5   17.8    0.00    0.00    0.00
 1999 296    64    61    241    3.04    0.01    1.86    0.67    0.19    0.00    3.5    7.3   21.6   17.6    0.00    0.00    0.00
 1999 297    65    62    260    3.19    0.01    1.94    0.70    0.21    0.00    3.5    7.2   21.7   17.9    0.00    0.00    0.00
 1999 298    66    63    282    3.76    0.02    2.28    0.83    0.26    0.00    3.5    7.2   21.6   19.1    0.00    0.00    0.00
 1999 299    67    64    317    5.88    0.02    3.59    1.30    0.37    0.00    3.5    7.2   23.1   19.1    0.00    0.00    0.00
 1999 300    68    65    357    6.80    0.02    4.12    1.49    0.48    0.00    3.5    7.2   24.7   20.7    0.00    0.00    0.00
 1999 301    69    66    398    7.02    0.03    4.19    1.51    0.60    0.00    3.5    7.2   27.5   22.5    0.00    0.00    0.00
 1999 302    70    67    450    8.90    0.03    5.34    1.92    0.73    0.00    3.5    7.2   25.9   22.7    0.00    0.00    0.00
 1999 303    71    68    493    7.23    0.03    4.37    1.57    0.55    0.00    3.5    7.2   23.0   20.7    0.00    0.00    0.00
 1999 304    72    69    553   10.19    0.04    6.16    2.22    0.76    0.00    3.5    7.2   24.6   21.3    0.00    0.00    0.00
 1999 305    73    70    594    7.07    0.04    4.26    1.53    0.57    0.00    3.5    7.1   23.3   20.1    0.00    0.00    0.00
 1999 306    74    71    675   13.66    0.04    8.27    2.97    0.94    0.05    3.6    7.3   24.2   20.6    0.00    0.00    0.00
 1999 307    75    72    758   13.80    0.04    8.36    3.02    0.86    0.09    3.7    7.6   22.6   19.0    0.00    0.00    0.00
 1999 308    76    73    788    5.06    0.03    3.06    1.12    0.32    0.05    3.7    7.7   16.3   14.5    0.00    0.00    0.00
 1999 309    77    74    878   14.74    0.04    9.01    3.26    0.76    0.17    3.8    8.1   20.8   16.4    0.00    0.00    0.00
 1999 310    78    75    991   19.06    0.06   11.32    4.22    1.22    0.28    4.0    8.6   25.2   18.8    0.00    0.00    0.00
 1999 311    79    76   1058   11.60    0.06    6.83    2.59    0.73    0.20    4.1    8.8   19.7   17.1    0.00    0.00    0.00
 1999 312    80    77   1138   13.19    0.05    7.91    2.96    0.59    0.26    4.2    9.2   17.5   13.8    0.00    0.00    0.00
 1999 313    81    78   1212   12.38    0.04    7.37    2.83    0.48    0.26    4.4    9.5   15.9   12.0    0.00    0.00    0.00
 1999 314    82    79   1298   14.20    0.05    8.48    3.20    0.58    0.33    4.5    9.9   18.2   11.7    0.00    0.00    0.00
 1999 315    83    80   1421   20.80    0.09   12.24    4.62    1.23    0.53    4.7   10.4   23.0   17.0    0.00    0.00    0.00
 1999 316    84    81   1561   23.96    0.13   13.82    5.33    1.71    0.68    4.8   10.9   25.7   19.2    0.00    0.00    0.00
 1999 317    85    82   1701   24.68    0.17   14.01    5.40    1.99    0.78    5.0   11.4   25.4   20.9    0.00    0.00    0.00
 1999 318    86    83   1841   24.62    0.18   13.93    5.37    1.92    0.86    5.2   11.9   25.0   20.0    0.00    0.00    0.00
 1999 319    87    84   2000   28.22    0.23   15.92    5.96    2.46    1.09    5.4   12.4   26.9   21.6    0.00    0.00    0.00
 1999 320    88    85   2165   29.38    0.24   17.00    5.91    2.50    1.29    5.7   13.0   26.7   20.9    0.00    0.00    0.00
 1999 321    89    86   2328   28.43    0.27   16.35    5.68    2.47    1.34    5.9   13.5   26.4   20.7    0.00    0.00    0.00
